"","date","G"
"1","2007-08-02",16.75
"2","2007-08-03",15.75
"3","2007-08-06",16.18
"4","2007-08-07",17
"5","2007-08-08",16.5
"6","2007-08-09",16.07
"7","2007-08-10",15.69
"8","2007-08-13",15.45
"9","2007-08-14",14.88
"10","2007-08-15",14.84
"11","2007-08-16",14.27
"12","2007-08-17",14
"13","2007-08-20",14.52
"14","2007-08-21",14.62
"15","2007-08-22",15.64
"16","2007-08-23",16.360001
"17","2007-08-24",16.93
"18","2007-08-27",16.530001
"19","2007-08-28",16.25
"20","2007-08-29",16.25
"21","2007-08-30",16.35
"22","2007-08-31",16.52
"23","2007-09-04",16.01
"24","2007-09-05",15.52
"25","2007-09-06",15.36
"26","2007-09-07",14.69
"27","2007-09-10",14.58
"28","2007-09-11",14.61
"29","2007-09-12",14.95
"30","2007-09-13",14.75
"31","2007-09-14",14.56
"32","2007-09-17",14.39
"33","2007-09-18",14.57
"34","2007-09-19",14.75
"35","2007-09-20",14.43
"36","2007-09-21",14.07
"37","2007-09-24",13.91
"38","2007-09-25",13.7
"39","2007-09-26",14.43
"40","2007-09-27",15.98
"41","2007-09-28",16.950001
"42","2007-10-01",17.68
"43","2007-10-02",17.549999
"44","2007-10-03",17.32
"45","2007-10-04",17.389999
"46","2007-10-05",16.860001
"47","2007-10-08",16.42
"48","2007-10-09",15.8
"49","2007-10-10",16.030001
"50","2007-10-11",15.85
"51","2007-10-12",16.42
"52","2007-10-15",15.95
"53","2007-10-16",15.76
"54","2007-10-17",16.15
"55","2007-10-18",16.040001
"56","2007-10-19",15.96
"57","2007-10-22",15.74
"58","2007-10-23",15.75
"59","2007-10-24",15.22
"60","2007-10-25",15.22
"61","2007-10-26",16.309999
"62","2007-10-29",16.57
"63","2007-10-30",16.209999
"64","2007-10-31",16
"65","2007-11-01",15.54
"66","2007-11-02",15.06
"67","2007-11-05",15.51
"68","2007-11-06",14.82
"69","2007-11-07",14.75
"70","2007-11-08",14.85
"71","2007-11-09",14.65
"72","2007-11-12",14.06
"73","2007-11-13",15.5
"74","2007-11-14",15.31
"75","2007-11-15",14.97
"76","2007-11-16",14.63
"77","2007-11-19",14.68
"78","2007-11-20",15.45
"79","2007-11-21",15.53
"80","2007-11-23",15.15
"81","2007-11-26",14.61
"82","2007-11-27",14.77
"83","2007-11-28",14.09
"84","2007-11-29",14.39
"85","2007-11-30",14.3
"86","2007-12-03",15.04
"87","2007-12-04",13.94
"88","2007-12-05",14.16
"89","2007-12-06",13.97
"90","2007-12-07",14.31
"91","2007-12-10",14.14
"92","2007-12-11",14.12
"93","2007-12-12",13.37
"94","2007-12-13",14.05
"95","2007-12-14",14.32
"96","2007-12-17",14.05
"97","2007-12-18",14.05
"98","2007-12-19",14.26
"99","2007-12-20",14.98
"100","2007-12-21",15.56
"101","2007-12-24",15.96
"102","2007-12-26",15.64
"103","2007-12-27",15.3
"104","2007-12-28",15.3
"105","2007-12-31",15.23
"106","2008-01-02",15.32
"107","2008-01-03",15.15
"108","2008-01-04",14.6
"109","2008-01-07",13.74
"110","2008-01-08",13.4
"111","2008-01-09",13.4
"112","2008-01-10",13.47
"113","2008-01-11",13.07
"114","2008-01-14",12.66
"115","2008-01-15",12.23
"116","2008-01-16",11.65
"117","2008-01-17",12.64
"118","2008-01-18",12.51
"119","2008-01-22",12.56
"120","2008-01-23",12.1
"121","2008-01-24",12.02
"122","2008-01-25",11.65
"123","2008-01-28",11.8
"124","2008-01-29",12.25
"125","2008-01-30",12.19
"126","2008-01-31",12.15
"127","2008-02-01",12.55
"128","2008-02-04",12.46
"129","2008-02-05",12.9
"130","2008-02-06",13.23
"131","2008-02-07",13.14
"132","2008-02-08",13.33
"133","2008-02-11",13.04
"134","2008-02-12",13.32
"135","2008-02-13",13.13
"136","2008-02-14",14
"137","2008-02-15",13.5
"138","2008-02-19",13.91
"139","2008-02-20",13.95
"140","2008-02-21",14.23
"141","2008-02-22",14.35
"142","2008-02-25",14.6
"143","2008-02-26",15.54
"144","2008-02-27",16.040001
"145","2008-02-28",15.64
"146","2008-02-29",15.25
"147","2008-03-03",14.27
"148","2008-03-04",13.65
"149","2008-03-05",13.74
"150","2008-03-06",13.74
"151","2008-03-07",13.02
"152","2008-03-10",12.66
"153","2008-03-11",13.34
"154","2008-03-12",13.91
"155","2008-03-13",13.85
"156","2008-03-14",12.8
"157","2008-03-17",12.54
"158","2008-03-18",12.56
"159","2008-03-19",11.5
"160","2008-03-20",13.24
"161","2008-03-24",13.9
"162","2008-03-25",13.48
"163","2008-03-26",12.89
"164","2008-03-27",12.39
"165","2008-03-28",12.49
"166","2008-03-31",12.25
"167","2008-04-01",12.6
"168","2008-04-02",12.88
"169","2008-04-03",12.78
"170","2008-04-04",12.92
"171","2008-04-07",12.76
"172","2008-04-08",12.67
"173","2008-04-09",12.44
"174","2008-04-10",12.31
"175","2008-04-11",12.04
"176","2008-04-14",12.05
"177","2008-04-15",12.03
"178","2008-04-16",12.17
"179","2008-04-17",12.22
"180","2008-04-18",12.73
"181","2008-04-21",12.92
"182","2008-04-22",12.71
"183","2008-04-23",13.27
"184","2008-04-24",13.5
"185","2008-04-25",13.04
"186","2008-04-28",13.37
"187","2008-04-29",13.51
"188","2008-04-30",14.3
"189","2008-05-01",15.35
"190","2008-05-02",14.68
"191","2008-05-05",14.47
"192","2008-05-06",13.56
"193","2008-05-07",13.56
"194","2008-05-08",13.43
"195","2008-05-09",13.3
"196","2008-05-12",13.1
"197","2008-05-13",13.04
"198","2008-05-14",13.35
"199","2008-05-15",13.83
"200","2008-05-16",13.95
"201","2008-05-19",13.53
"202","2008-05-20",13.45
"203","2008-05-21",13.9
"204","2008-05-22",14.36
"205","2008-05-23",14.55
"206","2008-05-27",15.05
"207","2008-05-28",15.04
"208","2008-05-29",15
"209","2008-05-30",14.5
"210","2008-06-02",14.79
"211","2008-06-03",15.18
"212","2008-06-04",15.94
"213","2008-06-05",15.49
"214","2008-06-06",15.84
"215","2008-06-09",15.87
"216","2008-06-10",14.59
"217","2008-06-11",14.7
"218","2008-06-12",15.07
"219","2008-06-13",15.1
"220","2008-06-16",15.38
"221","2008-06-17",15.41
"222","2008-06-18",15.3
"223","2008-06-19",14.95
"224","2008-06-20",14.4
"225","2008-06-23",14.75
"226","2008-06-24",14.37
"227","2008-06-25",14.62
"228","2008-06-26",14.84
"229","2008-06-27",15.24
"230","2008-06-30",14.92
"231","2008-07-01",15.33
"232","2008-07-02",14.77
"233","2008-07-03",13.73
"234","2008-07-07",13.89
"235","2008-07-08",14.12
"236","2008-07-09",13.97
"237","2008-07-10",14.01
"238","2008-07-11",13.33
"239","2008-07-14",13.35
"240","2008-07-15",13.28
"241","2008-07-16",13.68
"242","2008-07-17",13.57
"243","2008-07-18",13.52
"244","2008-07-21",12.87
"245","2008-07-22",13.33
"246","2008-07-23",13.4
"247","2008-07-24",13.06
"248","2008-07-25",12.69
"249","2008-07-28",12.71
"250","2008-07-29",13.04
"251","2008-07-30",13.16
"252","2008-07-31",13.26
"253","2008-08-01",13.2
"254","2008-08-04",13.25
"255","2008-08-05",13.28
"256","2008-08-06",14.56
"257","2008-08-07",14.21
"258","2008-08-08",15.18
"259","2008-08-11",15.13
"260","2008-08-12",14.62
"261","2008-08-13",14.85
"262","2008-08-14",14.64
"263","2008-08-15",14.89
"264","2008-08-18",14.57
"265","2008-08-19",14.39
"266","2008-08-20",14.27
"267","2008-08-21",14.22
"268","2008-08-22",13.99
"269","2008-08-25",13.92
"270","2008-08-26",13.89
"271","2008-08-27",13.85
