"","date","GSM"
"1","2009-07-30",7.09
"2","2009-07-31",7.2
"3","2009-08-03",8
"4","2009-08-04",7.76
"5","2009-08-05",8.86
"6","2009-08-06",7.97
"7","2009-08-07",8.3
"8","2009-08-10",8
"9","2009-08-11",7.76
"10","2009-08-12",7.92
"11","2009-08-13",8.17
"12","2009-08-14",8.23
"13","2009-08-17",8.04
"14","2009-08-18",8.14
"15","2009-08-19",8.2
"16","2009-08-20",8.11
"17","2009-08-21",8.3
"18","2009-08-24",8.15
"19","2009-08-25",7.93
"20","2009-08-26",8.15
"21","2009-08-27",8.17
"22","2009-08-28",8.1
"23","2009-08-31",8.19
"24","2009-09-01",7.9
"25","2009-09-02",7.93
"26","2009-09-03",7.96
"27","2009-09-04",8.01
"28","2009-09-08",8.15
"29","2009-09-09",8.14
"30","2009-09-10",8.25
"31","2009-09-11",8.45
"32","2009-09-14",8.29
"33","2009-09-15",8.3
"34","2009-09-16",8.16
"35","2009-09-17",8.35
"36","2009-09-18",8.33
"37","2009-09-21",8.2
"38","2009-09-22",8.54
"39","2009-09-23",8.59
"40","2009-09-24",8.61
"41","2009-09-25",8.85
"42","2009-09-28",8.59
"43","2009-09-29",8.66
"44","2009-09-30",9.02
"45","2009-10-01",8.35
"46","2009-10-02",8.7
"47","2009-10-05",8.53
"48","2009-10-06",8.74
"49","2009-10-07",8.5
"50","2009-10-08",8.55
"51","2009-10-09",8.75
"52","2009-10-12",8.85
"53","2009-10-13",8.8
"54","2009-10-14",8.78
"55","2009-10-15",8.8
"56","2009-10-16",8.4
"57","2009-10-19",8.38
"58","2009-10-20",8.31
"59","2009-10-21",8.4
"60","2009-10-22",8.52
"61","2009-10-23",8.4
"62","2009-10-26",8.27
"63","2009-10-27",8.17
"64","2009-10-28",7.71
"65","2009-10-29",8.12
"66","2009-10-30",7.92
"67","2009-11-02",7.75
"68","2009-11-03",7.6
"69","2009-11-04",7.78
"70","2009-11-05",8.44
"71","2009-11-06",8.51
"72","2009-11-09",8.74
"73","2009-11-10",8.75
"74","2009-11-11",8.84
"75","2009-11-12",9.04
"76","2009-11-13",8.93
"77","2009-11-16",8.82
"78","2009-11-17",8.6
"79","2009-11-18",8.7
"80","2009-11-19",8.63
"81","2009-11-20",8.6
"82","2009-11-23",8.54
"83","2009-11-24",8.52
"84","2009-11-25",8.52
"85","2009-11-27",8.13
"86","2009-11-30",8.36
"87","2009-12-01",8.45
"88","2009-12-02",8.41
"89","2009-12-03",8.32
"90","2009-12-04",8.49
"91","2009-12-07",9
"92","2009-12-08",9.37
"93","2009-12-09",9.5
"94","2009-12-10",9.25
"95","2009-12-11",9.34
"96","2009-12-14",9.44
"97","2009-12-15",9.24
"98","2009-12-16",9.25
"99","2009-12-17",9.1
"100","2009-12-18",9.2
"101","2009-12-21",9.15
"102","2009-12-22",9.1
"103","2009-12-23",9.52
"104","2009-12-24",9.75
"105","2009-12-28",9.69
"106","2009-12-29",9.65
"107","2009-12-30",9.5
"108","2009-12-31",9.4
"109","2010-01-04",9.65
"110","2010-01-05",9.9
"111","2010-01-06",9.87
"112","2010-01-07",9.91
"113","2010-01-08",10.25
"114","2010-01-11",10.48
"115","2010-01-12",10.46
"116","2010-01-13",10.68
"117","2010-01-14",10.47
"118","2010-01-15",10.48
"119","2010-01-19",10.7
"120","2010-01-20",10.72
"121","2010-01-21",10.23
"122","2010-01-22",9.84
"123","2010-01-25",9.8
"124","2010-01-26",9.77
"125","2010-01-27",9.5
"126","2010-01-28",9.4
"127","2010-01-29",9.29
"128","2010-02-01",9.41
"129","2010-02-02",9.97
"130","2010-02-03",10.15
"131","2010-02-04",9.36
"132","2010-02-05",9.33
"133","2010-02-08",9.28
