"","date","ICCC"
"1","2007-01-03",5.98
"2","2007-01-04",6
"3","2007-01-05",5.99
"4","2007-01-08",5.99
"5","2007-01-09",5.86
"6","2007-01-10",5.99
"7","2007-01-11",5.92
"8","2007-01-12",5.98
"9","2007-01-16",5.8
"10","2007-01-17",5.8
"11","2007-01-18",5.85
"12","2007-01-19",5.87
"13","2007-01-22",5.9
"14","2007-01-23",5.95
"15","2007-01-24",5.76
"16","2007-01-25",5.79
"17","2007-01-26",5.8
"18","2007-01-29",5.7
"19","2007-01-30",5.72
"20","2007-01-31",5.71
"21","2007-02-01",5.57
"22","2007-02-02",5.71
"23","2007-02-05",5.87
"24","2007-02-06",5.87
"25","2007-02-07",5.68
"26","2007-02-08",5.55
"27","2007-02-09",5.55
"28","2007-02-12",5.87
"29","2007-02-13",5.89
"30","2007-02-14",5.75
"31","2007-02-15",5.74
"32","2007-02-16",5.78
"33","2007-02-20",5.78
"34","2007-02-21",5.5
"35","2007-02-22",5.55
"36","2007-02-23",5.51
"37","2007-02-26",5.6
"38","2007-02-27",5.49
"39","2007-02-28",5.5
"40","2007-03-01",5.5
"41","2007-03-02",5.5
"42","2007-03-05",5.5
"43","2007-03-06",5.41
"44","2007-03-07",5.41
"45","2007-03-08",5.41
"46","2007-03-09",5.41
"47","2007-03-12",5.27
"48","2007-03-13",5.19
"49","2007-03-14",5.3
"50","2007-03-15",5.15
"51","2007-03-16",5.14
"52","2007-03-19",5.25
"53","2007-03-20",5.22
"54","2007-03-21",5.42
"55","2007-03-22",5.47
"56","2007-03-23",5.41
"57","2007-03-26",5.31
"58","2007-03-27",5.31
"59","2007-03-28",5.26
"60","2007-03-29",5.4
"61","2007-03-30",5.43
"62","2007-04-02",5.26
"63","2007-04-03",5.42
"64","2007-04-04",5.31
"65","2007-04-05",5.5
"66","2007-04-09",5.5
"67","2007-04-10",5.44
"68","2007-04-11",5.32
"69","2007-04-12",5.51
"70","2007-04-13",5.3
"71","2007-04-16",5.3
"72","2007-04-17",5.4
"73","2007-04-18",5.3
"74","2007-04-19",5.39
"75","2007-04-20",5.28
"76","2007-04-23",5.42
"77","2007-04-24",5.59
