"","date","EBF"
"1","2007-01-03",24.84
"2","2007-01-04",25.360001
"3","2007-01-05",24.559999
"4","2007-01-08",24.780001
"5","2007-01-09",24.799999
"6","2007-01-10",24.959999
"7","2007-01-11",25.370001
"8","2007-01-12",25.370001
"9","2007-01-16",25.02
"10","2007-01-17",25.190001
"11","2007-01-18",24.780001
"12","2007-01-19",25.219999
"13","2007-01-22",25.01
"14","2007-01-23",24.99
"15","2007-01-24",25.02
"16","2007-01-25",25
"17","2007-01-26",24.82
"18","2007-01-29",25.120001
"19","2007-01-30",25.209999
"20","2007-01-31",25.190001
"21","2007-02-01",26.23
"22","2007-02-02",26.02
"23","2007-02-05",25.85
"24","2007-02-06",25.870001
"25","2007-02-07",26.139999
"26","2007-02-08",26.41
"27","2007-02-09",26.540001
"28","2007-02-12",26.4
"29","2007-02-13",26.5
"30","2007-02-14",26.57
"31","2007-02-15",26.469999
"32","2007-02-16",26.879999
"33","2007-02-20",26.950001
"34","2007-02-21",27
"35","2007-02-22",26.889999
"36","2007-02-23",26
"37","2007-02-26",26.040001
"38","2007-02-27",25.26
"39","2007-02-28",25.799999
"40","2007-03-01",25.41
"41","2007-03-02",25
"42","2007-03-05",24.99
"43","2007-03-06",25.969999
"44","2007-03-07",25.83
"45","2007-03-08",25.84
"46","2007-03-09",26
"47","2007-03-12",26.07
"48","2007-03-13",25.84
"49","2007-03-14",25.969999
"50","2007-03-15",26.209999
"51","2007-03-16",26.059999
"52","2007-03-19",26.469999
"53","2007-03-20",26.73
"54","2007-03-21",26.809999
"55","2007-03-22",26.9
"56","2007-03-23",26.76
"57","2007-03-26",26.84
"58","2007-03-27",26.049999
"59","2007-03-28",26.200001
"60","2007-03-29",26.35
"61","2007-03-30",26.76
"62","2007-04-02",26.6
"63","2007-04-03",26.83
"64","2007-04-04",26.4
"65","2007-04-05",26.4
"66","2007-04-09",26.57
"67","2007-04-10",27
"68","2007-04-11",26.709999
"69","2007-04-12",26.639999
"70","2007-04-13",27
"71","2007-04-16",27.610001
"72","2007-04-17",27.219999
"73","2007-04-18",27.02
"74","2007-04-19",26.889999
"75","2007-04-20",27.709999
"76","2007-04-23",27.65
"77","2007-04-24",27.82
"78","2007-04-25",25.66
"79","2007-04-26",25.41
"80","2007-04-27",25.17
"81","2007-04-30",24.450001
"82","2007-05-01",22.92
"83","2007-05-02",23.540001
"84","2007-05-03",23.01
"85","2007-05-04",23.01
"86","2007-05-07",22.530001
"87","2007-05-08",23.35
"88","2007-05-09",23.549999
"89","2007-05-10",23.15
"90","2007-05-11",23.23
"91","2007-05-14",22.77
"92","2007-05-15",22.58
"93","2007-05-16",22.99
"94","2007-05-17",23.219999
"95","2007-05-18",23.379999
"96","2007-05-21",23.75
"97","2007-05-22",23.57
"98","2007-05-23",23.610001
"99","2007-05-24",23.41
"100","2007-05-25",23.85
"101","2007-05-29",23.860001
"102","2007-05-30",23.629999
