"","date","IBCP"
"1","2010-02-02",7.24
"2","2010-02-03",7.2
"3","2010-02-04",7.3
"4","2010-02-05",6.9
"5","2010-02-08",6.9
"6","2010-02-09",7.2
"7","2010-02-10",7.4
"8","2010-02-11",7.1
"9","2010-02-12",7
"10","2010-02-16",7.3
"11","2010-02-17",7.79
"12","2010-02-18",8
"13","2010-02-19",7.98
"14","2010-02-22",8.3
"15","2010-02-23",8.6
"16","2010-02-24",8.3
"17","2010-02-25",7.4
"18","2010-02-26",7.5
"19","2010-03-01",7.7
"20","2010-03-02",7.5
"21","2010-03-03",7.25
"22","2010-03-04",7.5
"23","2010-03-05",7.6
"24","2010-03-08",7.79
"25","2010-03-09",7.4
"26","2010-03-10",7.34
"27","2010-03-11",7.65
"28","2010-03-12",7.7
"29","2010-03-15",7.2
"30","2010-03-16",7.68
"31","2010-03-17",8
"32","2010-03-18",8.28
"33","2010-03-19",7.4
"34","2010-03-22",7.7
"35","2010-03-23",7.8
"36","2010-03-24",7.5
"37","2010-03-25",7.5
"38","2010-03-26",7.3
"39","2010-03-29",7.4
"40","2010-03-30",7
"41","2010-03-31",7
"42","2010-04-01",7.2
"43","2010-04-05",7
"44","2010-04-06",6.8
"45","2010-04-07",6.7
"46","2010-04-08",6.35
"47","2010-04-09",7
"48","2010-04-12",7.5
"49","2010-04-13",7.4
"50","2010-04-14",7.15
"51","2010-04-15",7.1
"52","2010-04-16",7.3
"53","2010-04-19",7.3
"54","2010-04-20",7.7
"55","2010-04-21",9.2
"56","2010-04-22",14.6
"57","2010-04-23",13.4
"58","2010-04-26",16.200001
"59","2010-04-27",15
"60","2010-04-28",12.8
"61","2010-04-29",11.5
"62","2010-04-30",11.5
"63","2010-05-03",10.6
"64","2010-05-04",10.5
"65","2010-05-05",10.1
"66","2010-05-06",9.6
"67","2010-05-07",9.6
"68","2010-05-10",10.1
"69","2010-05-11",8.8
"70","2010-05-12",9.3
"71","2010-05-13",9.9
"72","2010-05-14",9.2
"73","2010-05-17",8.55
"74","2010-05-18",8.3
"75","2010-05-19",7.7
"76","2010-05-20",9.1
"77","2010-05-21",8.8
"78","2010-05-24",8.5
"79","2010-05-25",8
"80","2010-05-26",8.6
"81","2010-05-27",8.8
"82","2010-05-28",8.5
"83","2010-06-01",8.5
"84","2010-06-02",8.48
"85","2010-06-03",8.2
"86","2010-06-04",8.3
"87","2010-06-07",8.8
"88","2010-06-08",8.3
"89","2010-06-09",8.05
"90","2010-06-10",8.02
"91","2010-06-11",8.5
"92","2010-06-14",8.2
"93","2010-06-15",7.8
"94","2010-06-16",7.9
"95","2010-06-17",7.6
"96","2010-06-18",6.6
"97","2010-06-21",5.25
"98","2010-06-22",5
"99","2010-06-23",4.6
"100","2010-06-24",3.99
"101","2010-06-25",4.15
"102","2010-06-28",3.9
"103","2010-06-29",3.5
"104","2010-06-30",3.79
"105","2010-07-01",3.69
"106","2010-07-02",3.5
"107","2010-07-06",3.4
"108","2010-07-07",3.5
"109","2010-07-08",3.4
"110","2010-07-09",2.7
"111","2010-07-12",2.8
"112","2010-07-13",2.8
"113","2010-07-14",2.82
"114","2010-07-15",2.8
"115","2010-07-16",2.8
"116","2010-07-19",3.1
"117","2010-07-20",3.2
"118","2010-07-21",3
"119","2010-07-22",3.2
"120","2010-07-23",3.22
"121","2010-07-26",3.47
"122","2010-07-27",3.7
"123","2010-07-28",3.55
"124","2010-07-29",3.4
"125","2010-07-30",3.5
"126","2010-08-02",3.59
"127","2010-08-03",3.5
"128","2010-08-04",3.45
"129","2010-08-05",3.3
"130","2010-08-06",2.85
"131","2010-08-09",3
"132","2010-08-10",2.9
"133","2010-08-11",2.88
"134","2010-08-12",2.79
"135","2010-08-13",2.9
"136","2010-08-16",3
"137","2010-08-17",2.97
"138","2010-08-18",2.72
"139","2010-08-19",2.7
"140","2010-08-20",2.2
"141","2010-08-23",2.08
"142","2010-08-24",2.1
"143","2010-08-25",2.1
"144","2010-08-26",1.79
"145","2010-08-27",1.8
"146","2010-08-30",2
"147","2010-08-31",1.9
"148","2010-09-01",1.98
"149","2010-09-02",2.43
"150","2010-09-03",2.36
"151","2010-09-07",2
"152","2010-09-08",2.02
"153","2010-09-09",1.93
"154","2010-09-10",1.87
"155","2010-09-13",1.99
"156","2010-09-14",1.91
"157","2010-09-15",1.86
"158","2010-09-16",1.85
"159","2010-09-17",1.73
"160","2010-09-20",1.59
"161","2010-09-21",1.6
"162","2010-09-22",1.52
"163","2010-09-23",1.58
"164","2010-09-24",1.62
"165","2010-09-27",1.57
"166","2010-09-28",1.51
"167","2010-09-29",1.44
"168","2010-09-30",1.39
"169","2010-10-01",1.38
"170","2010-10-04",1.38
"171","2010-10-05",1.35
"172","2010-10-06",1.5
"173","2010-10-07",1.46
"174","2010-10-08",1.4
"175","2010-10-11",1.38
"176","2010-10-12",1.4
"177","2010-10-13",1.48
"178","2010-10-14",1.43
"179","2010-10-15",1.37
"180","2010-10-18",1.38
"181","2010-10-19",1.35
"182","2010-10-20",1.53
"183","2010-10-21",1.47
"184","2010-10-22",1.48
"185","2010-10-25",1.52
"186","2010-10-26",1.8
"187","2010-10-27",1.91
