"","date","OTEL"
"1","2007-01-03",21.07
"2","2007-01-04",21.299999
"3","2007-01-05",20.879999
"4","2007-01-08",19.940001
"5","2007-01-09",20.690001
"6","2007-01-10",21.190001
"7","2007-01-11",21.65
"8","2007-01-12",21.75
"9","2007-01-16",21.85
"10","2007-01-17",21.940001
"11","2007-01-18",21.9
"12","2007-01-19",21.99
"13","2007-01-22",22.18
"14","2007-01-23",22.309999
"15","2007-01-24",22.450001
"16","2007-01-25",22.66
"17","2007-01-26",22.99
"18","2007-01-29",22.959999
"19","2007-01-30",23.200001
"20","2007-01-31",23.5
"21","2007-02-01",23.629999
"22","2007-02-02",23.99
"23","2007-02-05",24.469999
"24","2007-02-06",23.17
"25","2007-02-07",22.5
"26","2007-02-08",21.74
"27","2007-02-09",22.42
"28","2007-02-12",23.01
"29","2007-02-13",23.25
"30","2007-02-14",23.23
"31","2007-02-15",23.16
"32","2007-02-16",22.83
"33","2007-02-20",22.200001
"34","2007-02-21",22.84
"35","2007-02-22",22.75
"36","2007-02-23",22.83
"37","2007-02-26",23.25
"38","2007-02-27",22.549999
"39","2007-02-28",23.35
"40","2007-03-01",23.18
"41","2007-03-02",23.59
"42","2007-03-05",22.450001
"43","2007-03-06",20.76
"44","2007-03-07",20.9
"45","2007-03-08",20.620001
"46","2007-03-09",20.08
"47","2007-03-12",20.5
"48","2007-03-13",19.82
"49","2007-03-14",19.51
"50","2007-03-15",19.540001
"51","2007-03-16",19.4
"52","2007-03-19",18.049999
"53","2007-03-20",18.99
"54","2007-03-21",18.799999
"55","2007-03-22",19.950001
"56","2007-03-23",19.4
"57","2007-03-26",19.879999
"58","2007-03-27",20.709999
"59","2007-03-28",20.74
"60","2007-03-29",20.700001
"61","2007-03-30",20.85
"62","2007-04-02",21.299999
"63","2007-04-03",21.379999
"64","2007-04-04",21.469999
"65","2007-04-05",21.549999
"66","2007-04-09",22
"67","2007-04-10",22.25
"68","2007-04-11",22.200001
"69","2007-04-12",22.450001
