"","date","KT"
"1","2007-01-03",25.360001
"2","2007-01-04",25.82
"3","2007-01-05",24.610001
"4","2007-01-08",24.610001
"5","2007-01-09",24.139999
"6","2007-01-10",23.889999
"7","2007-01-11",24.459999
"8","2007-01-12",24.67
"9","2007-01-16",24.709999
"10","2007-01-17",24.530001
"11","2007-01-18",25.040001
"12","2007-01-19",25.09
"13","2007-01-22",24.700001
"14","2007-01-23",24.700001
"15","2007-01-24",25.25
"16","2007-01-25",23.879999
"17","2007-01-26",24.25
"18","2007-01-29",22.92
"19","2007-01-30",23.290001
"20","2007-01-31",23.1
"21","2007-02-01",23.549999
"22","2007-02-02",23.16
"23","2007-02-05",23.25
"24","2007-02-06",23.49
"25","2007-02-07",23.610001
"26","2007-02-08",23.6
"27","2007-02-09",23.16
"28","2007-02-12",22.969999
"29","2007-02-13",23.24
"30","2007-02-14",23.360001
"31","2007-02-15",23.26
"32","2007-02-16",22.85
"33","2007-02-20",22.790001
"34","2007-02-21",22.879999
"35","2007-02-22",22.950001
"36","2007-02-23",22.9
"37","2007-02-26",22.75
"38","2007-02-27",22.01
"39","2007-02-28",22.51
"40","2007-03-01",22.25
"41","2007-03-02",22.290001
"42","2007-03-05",22.209999
"43","2007-03-06",23.309999
"44","2007-03-07",22.6
"45","2007-03-08",22.73
"46","2007-03-09",22.49
"47","2007-03-12",22.57
"48","2007-03-13",22.18
"49","2007-03-14",22.51
"50","2007-03-15",22.620001
"51","2007-03-16",22.219999
"52","2007-03-19",22.549999
"53","2007-03-20",22.870001
"54","2007-03-21",22.799999
"55","2007-03-22",22.74
"56","2007-03-23",22.549999
"57","2007-03-26",22.59
"58","2007-03-27",22.379999
"59","2007-03-28",22.139999
"60","2007-03-29",22.35
"61","2007-03-30",22.389999
"62","2007-04-02",22.200001
"63","2007-04-03",21.82
"64","2007-04-04",21.82
"65","2007-04-05",22.42
"66","2007-04-09",22.370001
"67","2007-04-10",22.34
"68","2007-04-11",22.209999
"69","2007-04-12",22.530001
"70","2007-04-13",22.74
"71","2007-04-16",22.700001
"72","2007-04-17",22.74
"73","2007-04-18",22.73
"74","2007-04-19",22.469999
"75","2007-04-20",22.540001
"76","2007-04-23",22.41
"77","2007-04-24",22.02
"78","2007-04-25",22.030001
"79","2007-04-26",22.139999
"80","2007-04-27",22.459999
"81","2007-04-30",22.66
"82","2007-05-01",22.719999
"83","2007-05-02",22.51
"84","2007-05-03",23.07
"85","2007-05-04",23.09
"86","2007-05-07",23.5
"87","2007-05-08",23.34
"88","2007-05-09",23.360001
"89","2007-05-10",22.690001
"90","2007-05-11",22.639999
"91","2007-05-14",22.68
"92","2007-05-15",23.15
"93","2007-05-16",24.23
"94","2007-05-17",24.209999
"95","2007-05-18",24.389999
"96","2007-05-21",24.110001
"97","2007-05-22",23.84
"98","2007-05-23",23.870001
"99","2007-05-24",23.4
"100","2007-05-25",23.860001
"101","2007-05-29",24.030001
"102","2007-05-30",23.74
"103","2007-05-31",24.030001
"104","2007-06-01",24.139999
"105","2007-06-04",24.309999
"106","2007-06-05",23.950001
"107","2007-06-06",23.58
"108","2007-06-07",23.25
"109","2007-06-08",23.139999
"110","2007-06-11",23.549999
"111","2007-06-12",24.16
"112","2007-06-13",24.68
"113","2007-06-14",24.719999
"114","2007-06-15",24.639999
"115","2007-06-18",24.620001
"116","2007-06-19",24.18
"117","2007-06-20",23.75
"118","2007-06-21",23.67
"119","2007-06-22",23.26
"120","2007-06-25",23.51
"121","2007-06-26",23.379999
"122","2007-06-27",23.32
"123","2007-06-28",23.290001
"124","2007-06-29",23.459999
"125","2007-07-02",23.59
"126","2007-07-03",24.290001
"127","2007-07-05",23.74
"128","2007-07-06",23.65
"129","2007-07-09",24.07
"130","2007-07-10",23.75
"131","2007-07-11",24.4
"132","2007-07-12",24.870001
"133","2007-07-13",24.84
"134","2007-07-16",24.969999
"135","2007-07-17",25.110001
"136","2007-07-18",24.450001
"137","2007-07-19",24.77
"138","2007-07-20",24.459999
"139","2007-07-23",24.799999
"140","2007-07-24",24.24
"141","2007-07-25",24.700001
"142","2007-07-26",23.549999
"143","2007-07-27",23.15
"144","2007-07-30",23.91
"145","2007-07-31",23.52
"146","2007-08-01",23.309999
"147","2007-08-02",23.27
"148","2007-08-03",22.459999
"149","2007-08-06",22.77
"150","2007-08-07",22.83
"151","2007-08-08",23.35
"152","2007-08-09",22.49
"153","2007-08-10",22.15
"154","2007-08-13",22.940001
"155","2007-08-14",22.110001
