"","date","ALOT"
"1","2007-01-03",10.38
"2","2007-01-04",10.59
"3","2007-01-05",10.18
"4","2007-01-08",10.31
"5","2007-01-09",10.01
"6","2007-01-10",10.25
"7","2007-01-11",10.19
"8","2007-01-12",10.35
"9","2007-01-16",10.58
"10","2007-01-17",10.58
"11","2007-01-18",10.59
"12","2007-01-19",10.67
"13","2007-01-22",10.55
"14","2007-01-23",10.62
"15","2007-01-24",10.5
"16","2007-01-25",10.5
"17","2007-01-26",10.5
"18","2007-01-29",10.58
"19","2007-01-30",10.45
"20","2007-01-31",10.42
"21","2007-02-01",10.48
"22","2007-02-02",10.49
"23","2007-02-05",10.62
"24","2007-02-06",10.57
"25","2007-02-07",10.78
"26","2007-02-08",10.83
"27","2007-02-09",11.43
"28","2007-02-12",11.25
"29","2007-02-13",11.16
"30","2007-02-14",11.58
"31","2007-02-15",11.42
"32","2007-02-16",11.34
"33","2007-02-20",11.34
"34","2007-02-21",11.33
"35","2007-02-22",11.27
"36","2007-02-23",11.75
"37","2007-02-26",11.77
"38","2007-02-27",11.17
"39","2007-02-28",10.83
"40","2007-03-01",11.36
"41","2007-03-02",11.34
"42","2007-03-05",11.1
"43","2007-03-06",11.39
"44","2007-03-07",11.36
"45","2007-03-08",11.64
"46","2007-03-09",11.62
"47","2007-03-12",11.1
"48","2007-03-13",11.15
"49","2007-03-14",11.08
"50","2007-03-15",11.94
"51","2007-03-16",11.91
"52","2007-03-19",11.53
"53","2007-03-20",11.89
"54","2007-03-21",11.86
"55","2007-03-22",11.85
"56","2007-03-23",11.87
"57","2007-03-26",11.9
"58","2007-03-27",11.9
"59","2007-03-28",11.23
"60","2007-03-29",11.16
"61","2007-03-30",11.09
"62","2007-04-02",11.16
"63","2007-04-03",11.1
"64","2007-04-04",11.24
"65","2007-04-05",11.34
"66","2007-04-09",11.3
"67","2007-04-10",11.26
"68","2007-04-11",11.4
"69","2007-04-12",11.5
"70","2007-04-13",11.81
"71","2007-04-16",11.82
"72","2007-04-17",11.75
"73","2007-04-18",11.75
"74","2007-04-19",11.7
"75","2007-04-20",11.78
"76","2007-04-23",11.62
"77","2007-04-24",11.85
"78","2007-04-25",11.66
"79","2007-04-26",11.7
"80","2007-04-27",11.7
"81","2007-04-30",11.65
"82","2007-05-01",11.61
"83","2007-05-02",11.84
"84","2007-05-03",11.85
"85","2007-05-04",11.93
"86","2007-05-07",11.53
"87","2007-05-08",11.59
"88","2007-05-09",11.6
"89","2007-05-10",11.73
"90","2007-05-11",11.78
"91","2007-05-14",11.86
"92","2007-05-15",11.84
"93","2007-05-16",11.91
"94","2007-05-17",11.85
"95","2007-05-18",11.65
"96","2007-05-21",11.91
"97","2007-05-22",12.08
"98","2007-05-23",11.23
"99","2007-05-24",11.24
"100","2007-05-25",11.33
"101","2007-05-29",11.5
"102","2007-05-30",11.57
"103","2007-05-31",11.54
"104","2007-06-01",11.56
"105","2007-06-04",11.57
"106","2007-06-05",11.5
"107","2007-06-06",11.35
"108","2007-06-07",11.5
"109","2007-06-08",11.56
"110","2007-06-11",11.5
"111","2007-06-12",11.38
"112","2007-06-13",11.14
"113","2007-06-14",11.08
"114","2007-06-15",11.01
"115","2007-06-18",10.79
"116","2007-06-19",10.8
"117","2007-06-20",10.67
"118","2007-06-21",10.75
"119","2007-06-22",10.61
"120","2007-06-25",10.4
"121","2007-06-26",10.66
"122","2007-06-27",10.27
"123","2007-06-28",10.33
"124","2007-06-29",9.96
"125","2007-07-02",10.01
"126","2007-07-03",9.95
"127","2007-07-05",9.99
"128","2007-07-06",10.23
"129","2007-07-09",10.08
"130","2007-07-10",9.9
"131","2007-07-11",9.77
"132","2007-07-12",10.02
"133","2007-07-13",10.25
"134","2007-07-16",10.14
"135","2007-07-17",10.02
"136","2007-07-18",10.06
"137","2007-07-19",10.01
"138","2007-07-20",10.1
"139","2007-07-23",10.1
"140","2007-07-24",9.97
"141","2007-07-25",9.97
"142","2007-07-26",10.03
"143","2007-07-27",9.75
"144","2007-07-30",9.73
"145","2007-07-31",9.62
"146","2007-08-01",9.6
"147","2007-08-02",9.63
"148","2007-08-03",9.11
"149","2007-08-06",8.76
"150","2007-08-07",8.38
"151","2007-08-08",8.81
"152","2007-08-09",9.35
"153","2007-08-10",9.14
"154","2007-08-13",9.5
"155","2007-08-14",9.38
"156","2007-08-15",9.23
"157","2007-08-16",8.88
"158","2007-08-17",9
"159","2007-08-20",8.67
"160","2007-08-21",8.71
"161","2007-08-22",8.78
"162","2007-08-23",9.85
"163","2007-08-24",10
"164","2007-08-27",10.03
"165","2007-08-28",10.68
"166","2007-08-29",10.55
"167","2007-08-30",10.49
"168","2007-08-31",10.42
"169","2007-09-04",10.19
"170","2007-09-05",9.95
"171","2007-09-06",9.76
"172","2007-09-07",10
"173","2007-09-10",9.94
"174","2007-09-11",9.63
"175","2007-09-12",9.73
"176","2007-09-13",9.73
"177","2007-09-14",9.73
"178","2007-09-17",9.52
"179","2007-09-18",9.71
"180","2007-09-19",9.69
"181","2007-09-20",9.68
"182","2007-09-21",9.67
"183","2007-09-24",9.93
"184","2007-09-25",9.98
"185","2007-09-26",9.99
"186","2007-09-27",9.99
"187","2007-09-28",10.14
"188","2007-10-01",9.8
"189","2007-10-02",9.96
"190","2007-10-03",9.99
"191","2007-10-04",10
"192","2007-10-05",10
"193","2007-10-08",9.99
"194","2007-10-09",10.02
"195","2007-10-10",10
"196","2007-10-11",9.99
"197","2007-10-12",9.99
"198","2007-10-15",9.97
"199","2007-10-16",9.93
"200","2007-10-17",9.9
"201","2007-10-18",10.01
"202","2007-10-19",10.05
"203","2007-10-22",9.95
"204","2007-10-23",9.99
"205","2007-10-24",10
"206","2007-10-25",10.09
"207","2007-10-26",9.79
"208","2007-10-29",9.88
"209","2007-10-30",9.88
"210","2007-10-31",10.1
"211","2007-11-01",9.91
"212","2007-11-02",9.91
"213","2007-11-05",10
"214","2007-11-06",9.86
"215","2007-11-07",9.99
"216","2007-11-08",9.88
"217","2007-11-09",9.5
"218","2007-11-12",9.46
"219","2007-11-13",9.48
"220","2007-11-14",9.29
"221","2007-11-15",9.11
"222","2007-11-16",9.22
"223","2007-11-19",8.49
"224","2007-11-20",8.7
"225","2007-11-21",9.82
"226","2007-11-23",9.85
"227","2007-11-26",9.54
"228","2007-11-27",9.45
"229","2007-11-28",9.48
"230","2007-11-29",9.58
"231","2007-11-30",9.66
"232","2007-12-03",9.65
"233","2007-12-04",9.54
"234","2007-12-05",9.49
"235","2007-12-06",9.69
"236","2007-12-07",10.09
"237","2007-12-10",9.33
"238","2007-12-11",9.01
"239","2007-12-12",9.2
"240","2007-12-13",9.41
"241","2007-12-14",9.05
"242","2007-12-17",8.4
"243","2007-12-18",8.61
"244","2007-12-19",8.87
"245","2007-12-20",9
"246","2007-12-21",9.54
"247","2007-12-24",9.53
"248","2007-12-26",9.63
"249","2007-12-27",9.51
"250","2007-12-28",9.63
"251","2007-12-31",9.86
"252","2008-01-02",9.07
"253","2008-01-03",9.17
"254","2008-01-04",9.45
