"","date","CAR"
"1","2007-01-03",22.129999
"2","2007-01-04",22.139999
"3","2007-01-05",22.25
"4","2007-01-08",22.280001
"5","2007-01-09",22.59
"6","2007-01-10",23.120001
"7","2007-01-11",23.16
"8","2007-01-12",23.09
"9","2007-01-16",23.309999
"10","2007-01-17",23.780001
"11","2007-01-18",24.18
"12","2007-01-19",23.969999
"13","2007-01-22",23.93
"14","2007-01-23",23.860001
"15","2007-01-24",24.16
"16","2007-01-25",24.23
"17","2007-01-26",24.219999
"18","2007-01-29",24.98
"19","2007-01-30",25.01
"20","2007-01-31",25.459999
"21","2007-02-01",25.84
"22","2007-02-02",26.299999
"23","2007-02-05",26.75
"24","2007-02-06",26.639999
"25","2007-02-07",26.860001
"26","2007-02-08",26.5
"27","2007-02-09",26.73
"28","2007-02-12",26.790001
"29","2007-02-13",26.969999
"30","2007-02-14",27.049999
"31","2007-02-15",27.139999
"32","2007-02-16",27.290001
"33","2007-02-20",27.4
"34","2007-02-21",26.889999
"35","2007-02-22",27.120001
"36","2007-02-23",27.4
"37","2007-02-26",27.4
"38","2007-02-27",26.450001
"39","2007-02-28",26.559999
"40","2007-03-01",26.24
"41","2007-03-02",25.690001
"42","2007-03-05",25.41
"43","2007-03-06",25.84
"44","2007-03-07",26.42
"45","2007-03-08",26.440001
"46","2007-03-09",26.59
"47","2007-03-12",26.290001
"48","2007-03-13",25.82
"49","2007-03-14",25.91
"50","2007-03-15",26.790001
"51","2007-03-16",26.629999
"52","2007-03-19",27.469999
"53","2007-03-20",27.76
"54","2007-03-21",27.940001
"55","2007-03-22",27.809999
"56","2007-03-23",27.809999
"57","2007-03-26",27.66
"58","2007-03-27",27.549999
"59","2007-03-28",27.27
"60","2007-03-29",26.68
"61","2007-03-30",27.32
"62","2007-04-02",28.4
"63","2007-04-03",28.370001
"64","2007-04-04",28.02
"65","2007-04-05",28.24
"66","2007-04-09",28.309999
"67","2007-04-10",28.700001
"68","2007-04-11",28.440001
"69","2007-04-12",28.639999
"70","2007-04-13",28.43
"71","2007-04-16",28.52
"72","2007-04-17",28.75
"73","2007-04-18",28.549999
"74","2007-04-19",28.27
"75","2007-04-20",28.1
"76","2007-04-23",28.34
"77","2007-04-24",28.9
"78","2007-04-25",29.309999
"79","2007-04-26",28.809999
"80","2007-04-27",28.639999
"81","2007-04-30",28.129999
"82","2007-05-01",27.690001
"83","2007-05-02",27.99
"84","2007-05-03",28.51
"85","2007-05-04",28.34
"86","2007-05-07",28.41
"87","2007-05-08",28.4
"88","2007-05-09",28.59
"89","2007-05-10",28.389999
"90","2007-05-11",28.5
"91","2007-05-14",28.299999
"92","2007-05-15",28.469999
"93","2007-05-16",28.5
"94","2007-05-17",28.469999
"95","2007-05-18",28.27
"96","2007-05-21",28.299999
"97","2007-05-22",28.389999
"98","2007-05-23",28.35
"99","2007-05-24",28.450001
"100","2007-05-25",30.059999
"101","2007-05-29",29.6
"102","2007-05-30",29.9
"103","2007-05-31",30.25
"104","2007-06-01",30.49
"105","2007-06-04",30.59
"106","2007-06-05",30.620001
"107","2007-06-06",30.209999
"108","2007-06-07",29.440001
"109","2007-06-08",30.719999
"110","2007-06-11",30.07
"111","2007-06-12",29.790001
"112","2007-06-13",29.98
"113","2007-06-14",29.98
"114","2007-06-15",29.93
"115","2007-06-18",29.75
"116","2007-06-19",29.719999
"117","2007-06-20",29.799999
"118","2007-06-21",30.139999
"119","2007-06-22",29.48
"120","2007-06-25",27.559999
"121","2007-06-26",27.73
"122","2007-06-27",27.940001
"123","2007-06-28",28.209999
"124","2007-06-29",28.43
"125","2007-07-02",29.309999
"126","2007-07-03",29.34
"127","2007-07-05",29.59
