"","date","KIRK"
"1","2007-01-03",5.01
"2","2007-01-04",5.04
"3","2007-01-05",5
"4","2007-01-08",5.03
"5","2007-01-09",5
"6","2007-01-10",5.06
"7","2007-01-11",5.08
"8","2007-01-12",5.26
"9","2007-01-16",5.37
"10","2007-01-17",5.5
"11","2007-01-18",5.64
"12","2007-01-19",5.62
"13","2007-01-22",5.62
"14","2007-01-23",5.46
"15","2007-01-24",5.54
"16","2007-01-25",5.5
"17","2007-01-26",5.45
"18","2007-01-29",5.34
"19","2007-01-30",5.25
"20","2007-01-31",5.2
"21","2007-02-01",5.23
"22","2007-02-02",5.2
"23","2007-02-05",5.24
"24","2007-02-06",5.27
"25","2007-02-07",5.3
"26","2007-02-08",5.23
"27","2007-02-09",5.23
"28","2007-02-12",5.33
"29","2007-02-13",5.36
"30","2007-02-14",5.55
"31","2007-02-15",5.55
"32","2007-02-16",5.31
"33","2007-02-20",5.48
"34","2007-02-21",5.47
"35","2007-02-22",5.39
"36","2007-02-23",5.68
"37","2007-02-26",5.6
"38","2007-02-27",5.6
"39","2007-02-28",5.44
"40","2007-03-01",5.53
"41","2007-03-02",5.2
"42","2007-03-05",5.08
"43","2007-03-06",4.86
"44","2007-03-07",4.75
"45","2007-03-08",4.92
"46","2007-03-09",4.99
"47","2007-03-12",5.1
"48","2007-03-13",4.98
"49","2007-03-14",4.99
"50","2007-03-15",5.57
"51","2007-03-16",5.02
"52","2007-03-19",4.83
"53","2007-03-20",4.95
"54","2007-03-21",4.91
"55","2007-03-22",4.88
"56","2007-03-23",4.8
"57","2007-03-26",4.62
"58","2007-03-27",4.5
"59","2007-03-28",4.7
"60","2007-03-29",4.82
"61","2007-03-30",4.97
"62","2007-04-02",5.01
"63","2007-04-03",5.03
"64","2007-04-04",4.99
"65","2007-04-05",4.88
"66","2007-04-09",5.09
"67","2007-04-10",5.11
"68","2007-04-11",4.95
"69","2007-04-12",5.02
"70","2007-04-13",5.2
"71","2007-04-16",4.92
"72","2007-04-17",5.03
"73","2007-04-18",5.05
"74","2007-04-19",5
"75","2007-04-20",5.01
"76","2007-04-23",4.92
"77","2007-04-24",4.98
"78","2007-04-25",4.98
"79","2007-04-26",4.99
"80","2007-04-27",4.96
"81","2007-04-30",4.85
"82","2007-05-01",4.8
"83","2007-05-02",4.82
"84","2007-05-03",4.77
"85","2007-05-04",4.57
"86","2007-05-07",4.72
"87","2007-05-08",4.64
"88","2007-05-09",5.24
"89","2007-05-10",4.8
"90","2007-05-11",4.61
"91","2007-05-14",4.7
"92","2007-05-15",4.6
"93","2007-05-16",4.62
"94","2007-05-17",4.51
"95","2007-05-18",4.65
"96","2007-05-21",4.58
"97","2007-05-22",4.65
"98","2007-05-23",4.72
"99","2007-05-24",4.61
"100","2007-05-25",4.58
"101","2007-05-29",4.61
"102","2007-05-30",4.66
"103","2007-05-31",4.77
"104","2007-06-01",4.2
"105","2007-06-04",4.25
"106","2007-06-05",4.24
"107","2007-06-06",4.22
"108","2007-06-07",4.24
"109","2007-06-08",4.16
"110","2007-06-11",4.15
"111","2007-06-12",4.19
"112","2007-06-13",4.13
"113","2007-06-14",4.14
"114","2007-06-15",4.19
"115","2007-06-18",4.05
"116","2007-06-19",4.04
"117","2007-06-20",4.11
"118","2007-06-21",4
"119","2007-06-22",3.88
"120","2007-06-25",3.8
"121","2007-06-26",3.75
"122","2007-06-27",3.91
"123","2007-06-28",3.82
"124","2007-06-29",3.81
"125","2007-07-02",3.76
"126","2007-07-03",3.76
"127","2007-07-05",3.64
"128","2007-07-06",3.56
"129","2007-07-09",3.54
"130","2007-07-10",3.56
"131","2007-07-11",3.42
"132","2007-07-12",3.37
"133","2007-07-13",3.33
"134","2007-07-16",3.35
"135","2007-07-17",3.35
"136","2007-07-18",3.35
"137","2007-07-19",3.28
"138","2007-07-20",2.97
"139","2007-07-23",2.72
"140","2007-07-24",2.6
"141","2007-07-25",2.52
"142","2007-07-26",2.38
"143","2007-07-27",2.33
"144","2007-07-30",2.23
"145","2007-07-31",2.21
"146","2007-08-01",2.24
"147","2007-08-02",2.25
"148","2007-08-03",2.2
"149","2007-08-06",2.01
"150","2007-08-07",2.13
"151","2007-08-08",1.93
"152","2007-08-09",1.9
"153","2007-08-10",1.94
"154","2007-08-13",1.89
"155","2007-08-14",1.78
"156","2007-08-15",1.78
"157","2007-08-16",1.8
"158","2007-08-17",1.79
"159","2007-08-20",1.79
"160","2007-08-21",1.61
"161","2007-08-22",1.52
"162","2007-08-23",1.53
"163","2007-08-24",1.55
"164","2007-08-27",1.72
"165","2007-08-28",1.74
"166","2007-08-29",1.74
"167","2007-08-30",1.74
"168","2007-08-31",1.76
"169","2007-09-04",1.75
"170","2007-09-05",1.76
"171","2007-09-06",1.72
"172","2007-09-07",1.71
"173","2007-09-10",1.71
"174","2007-09-11",1.68
"175","2007-09-12",1.5
"176","2007-09-13",1.71
"177","2007-09-14",1.71
"178","2007-09-17",1.66
"179","2007-09-18",1.62
"180","2007-09-19",1.67
"181","2007-09-20",1.64
"182","2007-09-21",1.53
"183","2007-09-24",1.48
"184","2007-09-25",1.46
"185","2007-09-26",1.52
"186","2007-09-27",1.44
"187","2007-09-28",1.27
"188","2007-10-01",1.03
"189","2007-10-02",1.04
"190","2007-10-03",1.02
"191","2007-10-04",0.99
"192","2007-10-05",1.05
"193","2007-10-08",1.05
"194","2007-10-09",1.07
"195","2007-10-10",1.07
"196","2007-10-11",1.12
"197","2007-10-12",1.21
"198","2007-10-15",1.13
"199","2007-10-16",1.12
"200","2007-10-17",1.13
"201","2007-10-18",1.12
"202","2007-10-19",1.05
"203","2007-10-22",1.06
"204","2007-10-23",1.06
"205","2007-10-24",1.05
"206","2007-10-25",1.05
"207","2007-10-26",1.04
"208","2007-10-29",1
"209","2007-10-30",0.95
"210","2007-10-31",0.99
"211","2007-11-01",1.02
"212","2007-11-02",1.03
"213","2007-11-05",1.07
"214","2007-11-06",1.09
"215","2007-11-07",1.08
"216","2007-11-08",1.03
"217","2007-11-09",1
"218","2007-11-12",1.1
"219","2007-11-13",1.11
"220","2007-11-14",1.03
"221","2007-11-15",1.01
"222","2007-11-16",0.92
"223","2007-11-19",0.93
"224","2007-11-20",0.81
"225","2007-11-21",0.72
"226","2007-11-23",0.7
"227","2007-11-26",0.76
"228","2007-11-27",0.7
"229","2007-11-28",0.69
"230","2007-11-29",0.58
"231","2007-11-30",0.74
"232","2007-12-03",0.67
"233","2007-12-04",0.68
"234","2007-12-05",0.83
"235","2007-12-06",0.83
"236","2007-12-07",0.98
"237","2007-12-10",1.07
"238","2007-12-11",0.99
"239","2007-12-12",1.07
"240","2007-12-13",1.01
"241","2007-12-14",0.9
"242","2007-12-17",1
"243","2007-12-18",1.05
"244","2007-12-19",1.09
"245","2007-12-20",1.08
"246","2007-12-21",1.09
"247","2007-12-24",1.03
"248","2007-12-26",0.97
"249","2007-12-27",0.91
"250","2007-12-28",1
"251","2007-12-31",0.98
"252","2008-01-02",0.97
"253","2008-01-03",0.93
"254","2008-01-04",0.86
"255","2008-01-07",0.9
"256","2008-01-08",0.86
"257","2008-01-09",0.85
"258","2008-01-10",0.81
"259","2008-01-11",0.81
"260","2008-01-14",0.82
"261","2008-01-15",0.74
"262","2008-01-16",0.7
"263","2008-01-17",0.73
"264","2008-01-18",0.62
"265","2008-01-22",0.6
"266","2008-01-23",0.7
"267","2008-01-24",0.7
"268","2008-01-25",0.69
"269","2008-01-28",0.67
"270","2008-01-29",0.78
"271","2008-01-30",0.83
"272","2008-01-31",0.92
"273","2008-02-01",0.9
"274","2008-02-04",0.86
"275","2008-02-05",0.85
"276","2008-02-06",0.79
"277","2008-02-07",0.81
"278","2008-02-08",0.79
"279","2008-02-11",0.79
"280","2008-02-12",0.73
"281","2008-02-13",0.8
"282","2008-02-14",0.75
"283","2008-02-15",0.77
"284","2008-02-19",0.8
"285","2008-02-20",0.79
"286","2008-02-21",0.74
"287","2008-02-22",0.76
"288","2008-02-25",0.75
"289","2008-02-26",0.81
"290","2008-02-27",0.85
"291","2008-02-28",0.85
"292","2008-02-29",0.86
"293","2008-03-03",0.8
"294","2008-03-04",0.88
"295","2008-03-05",0.88
"296","2008-03-06",0.82
"297","2008-03-07",0.83
