"","date","HFWA"
"1","2007-01-03",24.35
"2","2007-01-04",24.23
"3","2007-01-05",24.4
"4","2007-01-08",24.6
"5","2007-01-09",24.5
"6","2007-01-10",24.299999
"7","2007-01-11",24.4
"8","2007-01-12",24.4
"9","2007-01-16",24.4
"10","2007-01-17",24.629999
"11","2007-01-18",24.4
"12","2007-01-19",24.49
"13","2007-01-22",24.610001
"14","2007-01-23",24.719999
"15","2007-01-24",24.33
"16","2007-01-25",24.33
"17","2007-01-26",24.33
"18","2007-01-29",24.33
"19","2007-01-30",24.4
"20","2007-01-31",24.65
"21","2007-02-01",24.65
"22","2007-02-02",24.690001
"23","2007-02-05",24.6
"24","2007-02-06",24.6
"25","2007-02-07",24.83
"26","2007-02-08",24.75
"27","2007-02-09",24.99
"28","2007-02-12",24.790001
"29","2007-02-13",25.07
"30","2007-02-14",24.75
"31","2007-02-15",24.959999
"32","2007-02-16",24.92
"33","2007-02-20",24.940001
"34","2007-02-21",24.9
"35","2007-02-22",24.75
"36","2007-02-23",24.75
"37","2007-02-26",25.190001
"38","2007-02-27",24.549999
"39","2007-02-28",25.02
"40","2007-03-01",25.030001
"41","2007-03-02",25.1
"42","2007-03-05",25.1
"43","2007-03-06",24.09
"44","2007-03-07",24.459999
"45","2007-03-08",24.459999
"46","2007-03-09",24.27
"47","2007-03-12",24.5
"48","2007-03-13",24.24
"49","2007-03-14",24.75
"50","2007-03-15",24.6
"51","2007-03-16",24.84
"52","2007-03-19",25
"53","2007-03-20",25.040001
"54","2007-03-21",24.950001
"55","2007-03-22",25
"56","2007-03-23",25.120001
"57","2007-03-26",24.92
"58","2007-03-27",25
"59","2007-03-28",25
"60","2007-03-29",25
"61","2007-03-30",24.969999
"62","2007-04-02",24.51
"63","2007-04-03",24.76
"64","2007-04-04",24.4
"65","2007-04-05",24.280001
"66","2007-04-09",24.200001
"67","2007-04-10",24.01
"68","2007-04-11",24.299999
"69","2007-04-12",24
"70","2007-04-13",23.129999
"71","2007-04-16",23.27
"72","2007-04-17",23.25
"73","2007-04-18",23
"74","2007-04-19",23.139999
"75","2007-04-20",23.24
"76","2007-04-23",23.33
"77","2007-04-24",22.93
"78","2007-04-25",22.969999
"79","2007-04-26",23
"80","2007-04-27",22.959999
"81","2007-04-30",22.98
"82","2007-05-01",23.08
"83","2007-05-02",23.1
"84","2007-05-03",23.110001
"85","2007-05-04",23.379999
"86","2007-05-07",23.41
"87","2007-05-08",23.1
"88","2007-05-09",23.1
"89","2007-05-10",23.200001
"90","2007-05-11",23.27
"91","2007-05-14",23.200001
"92","2007-05-15",22.940001
"93","2007-05-16",22.68
"94","2007-05-17",22.879999
"95","2007-05-18",22.889999
"96","2007-05-21",22.27
"97","2007-05-22",22.299999
"98","2007-05-23",22.5
"99","2007-05-24",22.549999
"100","2007-05-25",22.66
"101","2007-05-29",22.67
"102","2007-05-30",22.950001
"103","2007-05-31",23.15
"104","2007-06-01",23.209999
"105","2007-06-04",22.870001
"106","2007-06-05",22.780001
"107","2007-06-06",22.6
"108","2007-06-07",22.6
"109","2007-06-08",22.6
"110","2007-06-11",22.709999
"111","2007-06-12",22.76
"112","2007-06-13",22.700001
"113","2007-06-14",22.9
"114","2007-06-15",22.879999
"115","2007-06-18",23.200001
"116","2007-06-19",23.219999
"117","2007-06-20",23.4
"118","2007-06-21",23.1
"119","2007-06-22",23.5
"120","2007-06-25",23.889999
"121","2007-06-26",23.83
"122","2007-06-27",23.65
"123","2007-06-28",23.75
"124","2007-06-29",23.85
"125","2007-07-02",23.950001
"126","2007-07-03",23.92
"127","2007-07-05",23.870001
"128","2007-07-06",23.9
"129","2007-07-09",23.860001
"130","2007-07-10",23.790001
"131","2007-07-11",23.83
"132","2007-07-12",23.67
"133","2007-07-13",23.559999
"134","2007-07-16",23.559999
"135","2007-07-17",23.57
"136","2007-07-18",23.540001
"137","2007-07-19",23.76
"138","2007-07-20",23.620001
