"","date","NTEC"
"1","2015-08-04",120
"2","2015-08-05",120.599998
"3","2015-08-06",122
"4","2015-08-07",119.800003
"5","2015-08-10",121.599998
"6","2015-08-11",120.800003
"7","2015-08-12",120.599998
"8","2015-08-13",121.639999
"9","2015-08-14",122
"10","2015-08-17",122
"11","2015-08-18",121.800003
"12","2015-08-19",121
"13","2015-08-20",120.599998
"14","2015-08-21",118.800003
"15","2015-08-24",112.599998
"16","2015-08-25",115.800003
"17","2015-08-26",115
"18","2015-08-27",113.599998
"19","2015-08-28",115
"20","2015-08-31",111
"21","2015-09-01",110.400002
"22","2015-09-02",113.800003
"23","2015-09-03",114
"24","2015-09-04",113.400002
"25","2015-09-08",113
"26","2015-09-09",112
"27","2015-09-10",113
"28","2015-09-11",112.800003
"29","2015-09-14",116.599998
"30","2015-09-15",116.800003
"31","2015-09-16",119.800003
"32","2015-09-17",119.400002
"33","2015-09-18",123.800003
"34","2015-09-21",119.400002
"35","2015-09-22",118.599998
"36","2015-09-23",118.199997
"37","2015-09-24",118.599998
"38","2015-09-25",117.599998
"39","2015-09-28",113.400002
"40","2015-09-29",115.400002
"41","2015-09-30",112
"42","2015-10-01",110.199997
"43","2015-10-02",112.199997
"44","2015-10-05",113.800003
"45","2015-10-06",110.800003
"46","2015-10-07",110.199997
"47","2015-10-08",110.800003
"48","2015-10-09",111
"49","2015-10-12",121.800003
"50","2015-10-13",111.800003
"51","2015-10-14",111.599998
"52","2015-10-15",113.599998
"53","2015-10-16",113.199997
"54","2015-10-19",112.599998
"55","2015-10-20",112.800003
"56","2015-10-21",112.800003
"57","2015-10-22",117.199997
"58","2015-10-23",117.400002
"59","2015-10-26",115.400002
"60","2015-10-27",118.599998
"61","2015-10-28",118.599998
"62","2015-10-29",117.800003
"63","2015-10-30",117.400002
"64","2015-11-02",118.400002
"65","2015-11-03",117.800003
"66","2015-11-04",116.800003
"67","2015-11-05",115.599998
"68","2015-11-06",115.599998
"69","2015-11-09",115.199997
"70","2015-11-10",117
"71","2015-11-11",118.599998
"72","2015-11-12",118.800003
"73","2015-11-13",120
"74","2015-11-16",116.199997
"75","2015-11-17",118.400002
"76","2015-11-18",118
"77","2015-11-19",116.400002
"78","2015-11-20",117.599998
"79","2015-11-23",117.800003
"80","2015-11-24",114.199997
"81","2015-11-25",113.400002
"82","2015-11-27",117
"83","2015-11-30",118.599998
"84","2015-12-01",118.400002
"85","2015-12-02",117.800003
"86","2015-12-03",116.400002
"87","2015-12-04",119.199997
"88","2015-12-07",119.800003
"89","2015-12-08",116.800003
"90","2015-12-09",116
"91","2015-12-10",115
"92","2015-12-11",111
"93","2015-12-14",111.800003
"94","2015-12-15",113.599998
"95","2015-12-16",109.199997
"96","2015-12-17",109.400002
"97","2015-12-18",110
"98","2015-12-21",112
"99","2015-12-22",111.599998
"100","2015-12-23",110.699997
"101","2015-12-24",112
"102","2015-12-28",110.800003
"103","2015-12-29",109.599998
"104","2015-12-30",108.360001
"105","2015-12-31",107.199997
"106","2016-01-04",100
"107","2016-01-05",99.400002
"108","2016-01-06",97.800003
"109","2016-01-07",96.400002
"110","2016-01-08",96.599998
"111","2016-01-11",96.599998
"112","2016-01-12",92.400002
"113","2016-01-13",90.599998
"114","2016-01-14",91
"115","2016-01-15",89
"116","2016-01-19",88
"117","2016-01-20",84.800003
"118","2016-01-21",84
"119","2016-01-22",84.599998
"120","2016-01-25",84.800003
"121","2016-01-26",83.199997
"122","2016-01-27",85.599998
"123","2016-01-28",81
"124","2016-01-29",87.599998
"125","2016-02-01",85.400002
"126","2016-02-02",85.199997
"127","2016-02-03",83
"128","2016-02-04",83
"129","2016-02-05",81.199997
"130","2016-02-08",76.599998
"131","2016-02-09",72.599998
"132","2016-02-10",69.900002
"133","2016-02-11",64.599998
"134","2016-02-12",66.800003
"135","2016-02-16",74.199997
"136","2016-02-17",76
"137","2016-02-18",73
"138","2016-02-19",73
"139","2016-02-22",70.400002
"140","2016-02-23",72.800003
"141","2016-02-24",75.699997
"142","2016-02-25",75.18
"143","2016-02-26",74.199997
"144","2016-02-29",76.900002
"145","2016-03-01",78
"146","2016-03-02",76.800003
"147","2016-03-03",75.599998
"148","2016-03-04",76.400002
