"","date","CLBS"
"1","2007-01-03",750
"2","2007-01-04",750
"3","2007-01-05",800
"4","2007-01-08",790
"5","2007-01-09",750
"6","2007-01-10",700
"7","2007-01-11",700
"8","2007-01-12",610
"9","2007-01-16",650
"10","2007-01-17",650
"11","2007-01-18",650
"12","2007-01-19",670
"13","2007-01-22",700
"14","2007-01-23",700
"15","2007-01-24",650
"16","2007-01-25",680
"17","2007-01-26",650
"18","2007-01-29",600
"19","2007-01-30",600
"20","2007-01-31",540
"21","2007-02-01",550
"22","2007-02-02",540
"23","2007-02-05",540
"24","2007-02-06",550
"25","2007-02-07",480
"26","2007-02-08",470
"27","2007-02-09",470
"28","2007-02-12",470
"29","2007-02-13",450
"30","2007-02-14",460
"31","2007-02-15",500
"32","2007-02-16",480
"33","2007-02-20",450
"34","2007-02-21",470
"35","2007-02-22",460
"36","2007-02-23",460
"37","2007-02-26",450
"38","2007-02-27",410
"39","2007-02-28",400
"40","2007-03-01",380
"41","2007-03-02",310
"42","2007-03-05",270
"43","2007-03-06",310
"44","2007-03-07",270
"45","2007-03-08",320
"46","2007-03-09",330
"47","2007-03-12",380
"48","2007-03-13",460
"49","2007-03-14",430
"50","2007-03-15",490
"51","2007-03-16",520
"52","2007-03-19",600
"53","2007-03-20",600
"54","2007-03-21",550
"55","2007-03-22",530
"56","2007-03-23",510
"57","2007-03-26",560
"58","2007-03-27",580
"59","2007-03-28",570
"60","2007-03-29",500
"61","2007-03-30",530
"62","2007-04-02",510
"63","2007-04-03",530
"64","2007-04-04",530
"65","2007-04-05",600
"66","2007-04-09",570
"67","2007-04-10",550
"68","2007-04-11",620
"69","2007-04-12",610
"70","2007-04-13",610
"71","2007-04-16",550
"72","2007-04-17",550
"73","2007-04-18",610
"74","2007-04-19",610
"75","2007-04-20",550
"76","2007-04-23",520
"77","2007-04-24",500
"78","2007-04-25",550
"79","2007-04-26",400
"80","2007-04-27",370
"81","2007-04-30",390
"82","2007-05-01",460
"83","2007-05-02",510
"84","2007-05-03",450
"85","2007-05-04",530
"86","2007-05-07",540
"87","2007-05-08",490
"88","2007-05-09",470
"89","2007-05-10",470
"90","2007-05-11",470
"91","2007-05-14",470
"92","2007-05-15",470
"93","2007-05-16",500
"94","2007-05-17",470
"95","2007-05-18",460
"96","2007-05-21",490
"97","2007-05-22",440
"98","2007-05-23",450
"99","2007-05-24",450
"100","2007-05-25",440
