"","date","EFSC"
"1","2007-01-03",30.610001
"2","2007-01-04",31.129999
"3","2007-01-05",30.17
"4","2007-01-08",29.860001
"5","2007-01-09",30.91
"6","2007-01-10",30.6
"7","2007-01-11",30.559999
"8","2007-01-12",30.52
"9","2007-01-16",30.26
"10","2007-01-17",29.85
"11","2007-01-18",29.639999
"12","2007-01-19",30
"13","2007-01-22",29.639999
"14","2007-01-23",29.84
"15","2007-01-24",30.459999
"16","2007-01-25",29.65
"17","2007-01-26",29.98
"18","2007-01-29",30.77
"19","2007-01-30",30.92
"20","2007-01-31",30.549999
"21","2007-02-01",30.82
"22","2007-02-02",31
"23","2007-02-05",31.02
"24","2007-02-06",31.360001
"25","2007-02-07",30.860001
"26","2007-02-08",30.42
"27","2007-02-09",30.09
"28","2007-02-12",29.9
"29","2007-02-13",30.08
"30","2007-02-14",29.84
"31","2007-02-15",29.67
"32","2007-02-16",29.73
"33","2007-02-20",29.98
"34","2007-02-21",29.75
"35","2007-02-22",29.950001
"36","2007-02-23",29.68
"37","2007-02-26",29.6
"38","2007-02-27",28.5
"39","2007-02-28",28.82
"40","2007-03-01",28.549999
"41","2007-03-02",27.74
"42","2007-03-05",27.99
"43","2007-03-06",28.889999
"44","2007-03-07",28.67
"45","2007-03-08",28.43
"46","2007-03-09",28.940001
"47","2007-03-12",28.940001
"48","2007-03-13",28.41
"49","2007-03-14",28.68
"50","2007-03-15",28.629999
"51","2007-03-16",28.280001
"52","2007-03-19",28.209999
"53","2007-03-20",28.33
"54","2007-03-21",28.879999
"55","2007-03-22",29.01
"56","2007-03-23",28.530001
"57","2007-03-26",28.389999
"58","2007-03-27",27.75
"59","2007-03-28",27.73
"60","2007-03-29",28.02
"61","2007-03-30",28
"62","2007-04-02",27.780001
"63","2007-04-03",28
"64","2007-04-04",27.809999
"65","2007-04-05",28.15
"66","2007-04-09",27.76
"67","2007-04-10",27.860001
"68","2007-04-11",27.65
"69","2007-04-12",27.959999
"70","2007-04-13",27.49
"71","2007-04-16",27.98
"72","2007-04-17",27.9
"73","2007-04-18",26.940001
"74","2007-04-19",26.02
"75","2007-04-20",26.76
"76","2007-04-23",26.26
"77","2007-04-24",25.26
"78","2007-04-25",24.83
"79","2007-04-26",25.139999
"80","2007-04-27",24.719999
"81","2007-04-30",24.32
"82","2007-05-01",24.559999
"83","2007-05-02",24.959999
"84","2007-05-03",25.4
"85","2007-05-04",25.469999
"86","2007-05-07",25.780001
"87","2007-05-08",25.57
"88","2007-05-09",25.559999
"89","2007-05-10",25.299999
"90","2007-05-11",25.82
"91","2007-05-14",25.139999
"92","2007-05-15",25.129999
"93","2007-05-16",24.969999
"94","2007-05-17",25
"95","2007-05-18",24.98
"96","2007-05-21",25.15
"97","2007-05-22",25.26
"98","2007-05-23",25.26
"99","2007-05-24",24.559999
"100","2007-05-25",24.85
"101","2007-05-29",25.299999
"102","2007-05-30",25.280001
"103","2007-05-31",24.25
"104","2007-06-01",25.709999
"105","2007-06-04",25.959999
"106","2007-06-05",25.190001
"107","2007-06-06",25.209999
"108","2007-06-07",25.219999
"109","2007-06-08",25.709999
"110","2007-06-11",25.879999
"111","2007-06-12",25.370001
"112","2007-06-13",25.33
"113","2007-06-14",25.51
"114","2007-06-15",25.629999
"115","2007-06-18",24.9
"116","2007-06-19",26.16
"117","2007-06-20",25.139999
"118","2007-06-21",25.49
"119","2007-06-22",25.59
"120","2007-06-25",24.99
"121","2007-06-26",25.1
"122","2007-06-27",25.76
"123","2007-06-28",25.959999
"124","2007-06-29",24.860001
"125","2007-07-02",24.889999
"126","2007-07-03",24.6
"127","2007-07-05",24.639999
"128","2007-07-06",24.690001
"129","2007-07-09",24.52
"130","2007-07-10",24.389999
"131","2007-07-11",24
"132","2007-07-12",24
"133","2007-07-13",24
"134","2007-07-16",23.969999
"135","2007-07-17",23.98
"136","2007-07-18",22.93
"137","2007-07-19",22.4
"138","2007-07-20",22.110001
"139","2007-07-23",22.200001
"140","2007-07-24",21.809999
"141","2007-07-25",21.99
"142","2007-07-26",21.25
"143","2007-07-27",21.049999
"144","2007-07-30",20.709999
"145","2007-07-31",20.02
"146","2007-08-01",20.450001
"147","2007-08-02",20.52
"148","2007-08-03",20.02
"149","2007-08-06",23.360001
"150","2007-08-07",23.5
"151","2007-08-08",26.809999
"152","2007-08-09",26.5
"153","2007-08-10",25.17
"154","2007-08-13",22.549999
"155","2007-08-14",21.950001
"156","2007-08-15",22.459999
"157","2007-08-16",23.6
"158","2007-08-17",24.530001
"159","2007-08-20",24.049999
"160","2007-08-21",24.809999
"161","2007-08-22",24.98
"162","2007-08-23",22.52
