"","date","HBCP"
"1","2008-10-08",10.9
"2","2008-10-09",10.35
"3","2008-10-10",10.25
"4","2008-10-13",10.86
"5","2008-10-14",10.9
"6","2008-10-15",10.32
"7","2008-10-16",10.31
"8","2008-10-17",10.43
"9","2008-10-20",10.45
"10","2008-10-21",10.55
"11","2008-10-22",10.45
"12","2008-10-23",10.35
"13","2008-10-24",10.24
"14","2008-10-27",10.29
"15","2008-10-28",10.22
"16","2008-10-29",10.19
"17","2008-10-30",10.24
"18","2008-10-31",10.31
"19","2008-11-03",10.35
"20","2008-11-04",10.3
"21","2008-11-05",10.31
"22","2008-11-06",10.18
"23","2008-11-07",10.3
"24","2008-11-10",10.3
"25","2008-11-11",10.3
"26","2008-11-12",10.1
"27","2008-11-13",10.25
"28","2008-11-14",10.11
"29","2008-11-17",10.25
"30","2008-11-18",10.14
"31","2008-11-19",10
"32","2008-11-20",9.91
"33","2008-11-21",9.92
"34","2008-11-24",9.85
"35","2008-11-25",9.8
"36","2008-11-26",9.9
"37","2008-11-28",9.8
"38","2008-12-01",9.84
"39","2008-12-02",9.85
"40","2008-12-03",9.9
"41","2008-12-04",9.8
"42","2008-12-05",9.8
"43","2008-12-08",9.85
"44","2008-12-09",9.67
"45","2008-12-10",9.7
"46","2008-12-11",9.89
"47","2008-12-12",9.74
"48","2008-12-15",9.7
"49","2008-12-16",9.73
"50","2008-12-17",9.73
"51","2008-12-18",9.74
"52","2008-12-19",9.57
"53","2008-12-22",9.61
"54","2008-12-23",9.5
"55","2008-12-24",9.63
"56","2008-12-26",9.63
"57","2008-12-29",9.6
"58","2008-12-30",9.75
"59","2008-12-31",9.75
"60","2009-01-02",9.75
"61","2009-01-05",9.85
"62","2009-01-06",9.8
"63","2009-01-07",9.79
"64","2009-01-08",9.89
"65","2009-01-09",9.79
"66","2009-01-12",9.6
"67","2009-01-13",9.55
"68","2009-01-14",9.5
"69","2009-01-15",9.72
"70","2009-01-16",9.52
"71","2009-01-20",9.71
"72","2009-01-21",9.54
"73","2009-01-22",9.63
"74","2009-01-23",9.41
"75","2009-01-26",9.48
"76","2009-01-27",9.48
"77","2009-01-28",9.48
"78","2009-01-29",9.48
"79","2009-01-30",9.02
"80","2009-02-02",9.03
"81","2009-02-03",9.28
"82","2009-02-04",9.69
"83","2009-02-05",9.65
"84","2009-02-06",9.69
"85","2009-02-09",9.69
"86","2009-02-10",9.46
"87","2009-02-11",9.5
"88","2009-02-12",9.6
"89","2009-02-13",9.89
"90","2009-02-17",9.63
"91","2009-02-18",9.5
"92","2009-02-19",9.59
"93","2009-02-20",9.75
"94","2009-02-23",9.4
"95","2009-02-24",9.5
"96","2009-02-25",9.3
"97","2009-02-26",9.31
"98","2009-02-27",9.36
"99","2009-03-02",9.35
"100","2009-03-03",9.5
"101","2009-03-04",9.5
"102","2009-03-05",9.36
"103","2009-03-06",9.32
"104","2009-03-09",9.31
"105","2009-03-10",9.35
"106","2009-03-11",9.5
"107","2009-03-12",9.5
"108","2009-03-13",9.4
"109","2009-03-16",9.42
"110","2009-03-17",9.6
"111","2009-03-18",9.59
"112","2009-03-19",9.7
"113","2009-03-20",9.6
"114","2009-03-23",9.6
"115","2009-03-24",9.7
"116","2009-03-25",9.7
"117","2009-03-26",10
"118","2009-03-27",9.87
"119","2009-03-30",9.85
"120","2009-03-31",9.85
"121","2009-04-01",9.78
"122","2009-04-02",9.89
"123","2009-04-03",9.89
"124","2009-04-06",9.98
"125","2009-04-07",9.95
"126","2009-04-08",10.1
"127","2009-04-09",10.45
"128","2009-04-13",10.5
"129","2009-04-14",10.6
"130","2009-04-15",10.78
"131","2009-04-16",10.57
"132","2009-04-17",10.49
"133","2009-04-20",10.27
"134","2009-04-21",10.86
"135","2009-04-22",10.9
"136","2009-04-23",10.83
"137","2009-04-24",10.85
"138","2009-04-27",10.98
"139","2009-04-28",10.9
"140","2009-04-29",10.95
"141","2009-04-30",11.07
"142","2009-05-01",11.08
"143","2009-05-04",11.23
"144","2009-05-05",11.25
"145","2009-05-06",11.3
"146","2009-05-07",11.43
"147","2009-05-08",11.45
"148","2009-05-11",11.3
"149","2009-05-12",11.45
"150","2009-05-13",11.5
"151","2009-05-14",11.5
"152","2009-05-15",11.48
"153","2009-05-18",11.48
"154","2009-05-19",11.68
"155","2009-05-20",11.5
"156","2009-05-21",11.65
"157","2009-05-22",11.68
"158","2009-05-26",11.37
"159","2009-05-27",11.5
"160","2009-05-28",11.5
"161","2009-05-29",10.84
"162","2009-06-01",11.5
"163","2009-06-02",11.5
"164","2009-06-03",11.5
"165","2009-06-04",11.45
"166","2009-06-05",11.5
"167","2009-06-08",11.55
"168","2009-06-09",11.68
"169","2009-06-10",11.8
"170","2009-06-11",11.9
"171","2009-06-12",12
"172","2009-06-15",12.1
"173","2009-06-16",12
"174","2009-06-17",12.15
"175","2009-06-18",12
"176","2009-06-19",12
"177","2009-06-22",12
"178","2009-06-23",11.88
"179","2009-06-24",11.77
"180","2009-06-25",12.1
"181","2009-06-26",12.29
"182","2009-06-29",12.29
"183","2009-06-30",11.94
"184","2009-07-01",12.12
"185","2009-07-02",12
"186","2009-07-06",12.34
"187","2009-07-07",12
"188","2009-07-08",12.17
"189","2009-07-09",12.06
"190","2009-07-10",12.13
"191","2009-07-13",12.35
"192","2009-07-14",12.35
"193","2009-07-15",12.32
"194","2009-07-16",12.34
"195","2009-07-17",12.28
"196","2009-07-20",12.35
"197","2009-07-21",12.35
"198","2009-07-22",12.35
"199","2009-07-23",12.45
"200","2009-07-24",12.37
"201","2009-07-27",12.4
"202","2009-07-28",12.45
"203","2009-07-29",12.35
"204","2009-07-30",12.47
"205","2009-07-31",12.43
"206","2009-08-03",12.5
"207","2009-08-04",12.5
"208","2009-08-05",12.27
"209","2009-08-06",12.16
"210","2009-08-07",12.35
"211","2009-08-10",12.4
"212","2009-08-11",12.19
"213","2009-08-12",12.45
"214","2009-08-13",12.42
"215","2009-08-14",12.16
"216","2009-08-17",12.23
"217","2009-08-18",12.33
"218","2009-08-19",12.4
"219","2009-08-20",12.4
"220","2009-08-21",12.39
"221","2009-08-24",12.33
"222","2009-08-25",12.42
"223","2009-08-26",12.5
"224","2009-08-27",12.47
"225","2009-08-28",12.01
"226","2009-08-31",12.2
"227","2009-09-01",12.05
"228","2009-09-02",12.16
"229","2009-09-03",12.23
"230","2009-09-04",12.24
"231","2009-09-08",12.13
"232","2009-09-09",12.28
"233","2009-09-10",12.3
"234","2009-09-11",12.26
"235","2009-09-14",12.12
"236","2009-09-15",12.26
"237","2009-09-16",12.3
"238","2009-09-17",12.26
"239","2009-09-18",12.43
"240","2009-09-21",12.31
"241","2009-09-22",12.39
"242","2009-09-23",12.22
"243","2009-09-24",12.36
"244","2009-09-25",12.45
"245","2009-09-28",12.5
"246","2009-09-29",12.29
"247","2009-09-30",12.17
"248","2009-10-01",12.39
"249","2009-10-02",12.22
"250","2009-10-05",12.17
"251","2009-10-06",12.4
"252","2009-10-07",12.3
"253","2009-10-08",12.18
"254","2009-10-09",12.36
"255","2009-10-12",12.22
"256","2009-10-13",12.17
"257","2009-10-14",12.33
"258","2009-10-15",12.18
"259","2009-10-16",12.1
"260","2009-10-19",12.08
"261","2009-10-20",12.05
"262","2009-10-21",12.12
"263","2009-10-22",12.29
"264","2009-10-23",12.1
"265","2009-10-26",12.03
"266","2009-10-27",12.07
"267","2009-10-28",12.06
"268","2009-10-29",12.05
"269","2009-10-30",12.01
"270","2009-11-02",12.09
"271","2009-11-03",12.22
"272","2009-11-04",11.98
"273","2009-11-05",12.24
"274","2009-11-06",12.11
"275","2009-11-09",12.2
"276","2009-11-10",12.07
"277","2009-11-11",12.13
"278","2009-11-12",11.96
"279","2009-11-13",12.18
"280","2009-11-16",12.3
"281","2009-11-17",12.29
"282","2009-11-18",12.21
"283","2009-11-19",12.22
"284","2009-11-20",12.29
"285","2009-11-23",12.28
"286","2009-11-24",12.28
"287","2009-11-25",12.28
"288","2009-11-27",12.23
"289","2009-11-30",12.33
"290","2009-12-01",12.33
"291","2009-12-02",12.37
"292","2009-12-03",12.27
"293","2009-12-04",12.35
"294","2009-12-07",12.4
"295","2009-12-08",12.34
"296","2009-12-09",12.4
"297","2009-12-10",12.28
"298","2009-12-11",12.41
"299","2009-12-14",12.35
"300","2009-12-15",12.25
"301","2009-12-16",12.27
"302","2009-12-17",12.22
"303","2009-12-18",12.34
"304","2009-12-21",12.26
"305","2009-12-22",12.23
"306","2009-12-23",12.27
"307","2009-12-24",12.27
"308","2009-12-28",12.36
"309","2009-12-29",12.41
"310","2009-12-30",12.37
"311","2009-12-31",12.19
"312","2010-01-04",12.33
"313","2010-01-05",12.13
"314","2010-01-06",12.12
"315","2010-01-07",12.19
"316","2010-01-08",12.17
"317","2010-01-11",12.14
"318","2010-01-12",12.14
"319","2010-01-13",12.11
"320","2010-01-14",12.13
"321","2010-01-15",12.1
"322","2010-01-19",12.21
"323","2010-01-20",12.06
"324","2010-01-21",12.07
"325","2010-01-22",12.13
"326","2010-01-25",12.06
"327","2010-01-26",12.05
"328","2010-01-27",12.32
"329","2010-01-28",12.26
"330","2010-01-29",12.33
"331","2010-02-01",12.35
"332","2010-02-02",12.17
"333","2010-02-03",12.15
"334","2010-02-04",12.1
"335","2010-02-05",12.19
"336","2010-02-08",12.1
"337","2010-02-09",12.16
"338","2010-02-10",12.21
"339","2010-02-11",12.25
"340","2010-02-12",12.26
"341","2010-02-16",12.23
"342","2010-02-17",12.28
"343","2010-02-18",12.32
"344","2010-02-19",12.26
"345","2010-02-22",12.36
"346","2010-02-23",12.19
"347","2010-02-24",12.25
"348","2010-02-25",12.28
"349","2010-02-26",12.19
"350","2010-03-01",12.31
"351","2010-03-02",12.25
"352","2010-03-03",12.24
"353","2010-03-04",12.32
"354","2010-03-05",12.5
"355","2010-03-08",12.5
"356","2010-03-09",12.5
"357","2010-03-10",12.65
"358","2010-03-11",12.62
"359","2010-03-12",12.58
"360","2010-03-15",14
"361","2010-03-16",13.99
"362","2010-03-17",13.98
"363","2010-03-18",13.97
"364","2010-03-19",14
"365","2010-03-22",14.05
"366","2010-03-23",14.1
"367","2010-03-24",14.08
"368","2010-03-25",14.08
"369","2010-03-26",14.12
"370","2010-03-29",14.1
"371","2010-03-30",14.17
"372","2010-03-31",14
"373","2010-04-01",14.02
"374","2010-04-05",14
"375","2010-04-06",13.98
"376","2010-04-07",13.88
"377","2010-04-08",13.87
"378","2010-04-09",14.01
"379","2010-04-12",13.91
"380","2010-04-13",14
"381","2010-04-14",14.01
"382","2010-04-15",14.08
"383","2010-04-16",13.91
"384","2010-04-19",13.81
"385","2010-04-20",13.97
"386","2010-04-21",13.93
"387","2010-04-22",14.05
"388","2010-04-23",14.11
"389","2010-04-26",14.09
"390","2010-04-27",13.89
"391","2010-04-28",14.06
"392","2010-04-29",14.08
"393","2010-04-30",13.87
"394","2010-05-03",14.03
"395","2010-05-04",13.88
"396","2010-05-05",13.7
"397","2010-05-06",13.41
"398","2010-05-07",13.5
"399","2010-05-10",13.73
"400","2010-05-11",13.77
"401","2010-05-12",13.88
"402","2010-05-13",13.84
"403","2010-05-14",13.86
"404","2010-05-17",13.5
"405","2010-05-18",13.59
"406","2010-05-19",13.4
"407","2010-05-20",13
"408","2010-05-21",13.38
"409","2010-05-24",13.34
"410","2010-05-25",13.31
"411","2010-05-26",13.57
"412","2010-05-27",13.87
"413","2010-05-28",13.64
"414","2010-06-01",13.52
"415","2010-06-02",13.6
"416","2010-06-03",13.55
"417","2010-06-04",13.51
"418","2010-06-07",13.3
"419","2010-06-08",13.57
"420","2010-06-09",13.43
"421","2010-06-10",13.59
"422","2010-06-11",13.6
"423","2010-06-14",13.34
"424","2010-06-15",13.59
"425","2010-06-16",13.32
"426","2010-06-17",13.52
"427","2010-06-18",13.35
"428","2010-06-21",13.28
"429","2010-06-22",13.11
"430","2010-06-23",13.07
"431","2010-06-24",13.04
"432","2010-06-25",13.64
