"","date","RCKY"
"1","2007-01-03",16.549999
"2","2007-01-04",16.389999
"3","2007-01-05",15.93
"4","2007-01-08",16.059999
"5","2007-01-09",15.95
"6","2007-01-10",16.33
"7","2007-01-11",16.65
"8","2007-01-12",16.959999
"9","2007-01-16",17
"10","2007-01-17",16.32
"11","2007-01-18",16.030001
"12","2007-01-19",16.26
"13","2007-01-22",16.530001
"14","2007-01-23",15.56
"15","2007-01-24",15.46
"16","2007-01-25",15.8
"17","2007-01-26",15.55
"18","2007-01-29",15.1
"19","2007-01-30",14.95
"20","2007-01-31",15.49
"21","2007-02-01",15.6
"22","2007-02-02",15.5
"23","2007-02-05",15.69
"24","2007-02-06",15.74
"25","2007-02-07",15.51
"26","2007-02-08",15.43
"27","2007-02-09",15.38
"28","2007-02-12",15.18
"29","2007-02-13",15.08
"30","2007-02-14",14.93
"31","2007-02-15",14.96
"32","2007-02-16",15.06
"33","2007-02-20",15.16
"34","2007-02-21",15.14
"35","2007-02-22",15.2
"36","2007-02-23",15.17
"37","2007-02-26",15.09
"38","2007-02-27",14.72
"39","2007-02-28",14.75
"40","2007-03-01",14.56
"41","2007-03-02",14.51
"42","2007-03-05",13.9
"43","2007-03-06",13.76
"44","2007-03-07",11.09
"45","2007-03-08",11.17
"46","2007-03-09",11.03
"47","2007-03-12",10.95
"48","2007-03-13",10.71
"49","2007-03-14",10.77
"50","2007-03-15",10.9
"51","2007-03-16",10.89
"52","2007-03-19",10.8
"53","2007-03-20",10.9
"54","2007-03-21",11.2
"55","2007-03-22",11.75
"56","2007-03-23",11.94
"57","2007-03-26",12.01
"58","2007-03-27",11.86
"59","2007-03-28",11.55
"60","2007-03-29",11.48
"61","2007-03-30",11.4
"62","2007-04-02",11.44
"63","2007-04-03",11.45
"64","2007-04-04",11.67
"65","2007-04-05",12.03
"66","2007-04-09",11.97
"67","2007-04-10",11.8
"68","2007-04-11",11.35
"69","2007-04-12",11.63
"70","2007-04-13",11.66
"71","2007-04-16",11.7
"72","2007-04-17",11.7
"73","2007-04-18",11.85
"74","2007-04-19",11.3
"75","2007-04-20",11.49
"76","2007-04-23",11.3
"77","2007-04-24",11.42
"78","2007-04-25",11.12
"79","2007-04-26",11.48
"80","2007-04-27",11.48
"81","2007-04-30",11.2
"82","2007-05-01",11.33
"83","2007-05-02",11.24
"84","2007-05-03",11.32
"85","2007-05-04",11.44
"86","2007-05-07",13.53
"87","2007-05-08",14.1
"88","2007-05-09",14.38
"89","2007-05-10",14.25
"90","2007-05-11",14.5
"91","2007-05-14",14.65
"92","2007-05-15",14.6
"93","2007-05-16",14.4
"94","2007-05-17",14.8
"95","2007-05-18",15.12
"96","2007-05-21",15.17
"97","2007-05-22",15.23
"98","2007-05-23",15.56
"99","2007-05-24",15.45
"100","2007-05-25",15.55
