"","date","PFS"
"1","2007-01-03",18.25
"2","2007-01-04",18.389999
"3","2007-01-05",17.99
"4","2007-01-08",17.940001
"5","2007-01-09",17.92
"6","2007-01-10",17.98
"7","2007-01-11",18.030001
"8","2007-01-12",18.049999
"9","2007-01-16",17.93
"10","2007-01-17",17.77
"11","2007-01-18",17.73
"12","2007-01-19",17.91
"13","2007-01-22",17.74
"14","2007-01-23",17.82
"15","2007-01-24",18.1
"16","2007-01-25",17.83
"17","2007-01-26",17.940001
"18","2007-01-29",18.040001
"19","2007-01-30",18.24
"20","2007-01-31",18.200001
"21","2007-02-01",18.280001
"22","2007-02-02",18.4
"23","2007-02-05",18.200001
"24","2007-02-06",18.27
"25","2007-02-07",18.290001
"26","2007-02-08",18.299999
"27","2007-02-09",18.24
"28","2007-02-12",18.27
"29","2007-02-13",18.299999
"30","2007-02-14",18.25
"31","2007-02-15",18.280001
"32","2007-02-16",18.299999
"33","2007-02-20",18.42
"34","2007-02-21",18.370001
"35","2007-02-22",18.379999
"36","2007-02-23",18.190001
"37","2007-02-26",18.049999
"38","2007-02-27",17.459999
"39","2007-02-28",17.559999
"40","2007-03-01",17.559999
"41","2007-03-02",17.459999
"42","2007-03-05",17.02
"43","2007-03-06",17.370001
"44","2007-03-07",17.15
"45","2007-03-08",17.190001
"46","2007-03-09",17.25
"47","2007-03-12",17.4
"48","2007-03-13",16.75
"49","2007-03-14",16.85
"50","2007-03-15",17.16
"51","2007-03-16",17.030001
"52","2007-03-19",17.17
"53","2007-03-20",17.23
"54","2007-03-21",17.709999
"55","2007-03-22",17.57
"56","2007-03-23",17.6
"57","2007-03-26",17.559999
"58","2007-03-27",17.299999
"59","2007-03-28",17.23
"60","2007-03-29",17.450001
"61","2007-03-30",17.450001
"62","2007-04-02",17.360001
"63","2007-04-03",17.5
"64","2007-04-04",17.4
"65","2007-04-05",17.379999
"66","2007-04-09",17.18
"67","2007-04-10",17.200001
"68","2007-04-11",16.9
"69","2007-04-12",17.049999
"70","2007-04-13",17.139999
"71","2007-04-16",17.450001
"72","2007-04-17",17.459999
"73","2007-04-18",17.51
"74","2007-04-19",17.43
"75","2007-04-20",17.59
"76","2007-04-23",17.32
"77","2007-04-24",17.33
"78","2007-04-25",17.370001
"79","2007-04-26",17.15
"80","2007-04-27",17.18
"81","2007-04-30",17.139999
"82","2007-05-01",17.219999
"83","2007-05-02",17.35
"84","2007-05-03",17.360001
"85","2007-05-04",17.450001
"86","2007-05-07",17.360001
"87","2007-05-08",17.360001
"88","2007-05-09",17.09
"89","2007-05-10",16.75
"90","2007-05-11",16.77
"91","2007-05-14",16.709999
"92","2007-05-15",16.52
"93","2007-05-16",16.65
"94","2007-05-17",16.43
"95","2007-05-18",16.51
"96","2007-05-21",16.610001
"97","2007-05-22",16.84
"98","2007-05-23",16.76
"99","2007-05-24",16.719999
"100","2007-05-25",16.690001
"101","2007-05-29",16.790001
"102","2007-05-30",16.780001
"103","2007-05-31",16.799999
"104","2007-06-01",16.83
"105","2007-06-04",16.82
"106","2007-06-05",16.780001
"107","2007-06-06",16.76
"108","2007-06-07",16.5
"109","2007-06-08",16.719999
"110","2007-06-11",16.73
"111","2007-06-12",16.530001
"112","2007-06-13",16.66
"113","2007-06-14",16.73
"114","2007-06-15",17.190001
"115","2007-06-18",17.129999
"116","2007-06-19",17.110001
"117","2007-06-20",16.870001
"118","2007-06-21",16.66
"119","2007-06-22",16.48
"120","2007-06-25",16.24
"121","2007-06-26",16.059999
"122","2007-06-27",16.17
"123","2007-06-28",16.209999
"124","2007-06-29",15.76
"125","2007-07-02",15.91
"126","2007-07-03",15.72
"127","2007-07-05",15.62
"128","2007-07-06",15.79
"129","2007-07-09",15.64
"130","2007-07-10",15.14
"131","2007-07-11",15.12
"132","2007-07-12",15.48
"133","2007-07-13",15.43
"134","2007-07-16",15.28
"135","2007-07-17",15.22
"136","2007-07-18",15.05
"137","2007-07-19",15.18
"138","2007-07-20",14.85
"139","2007-07-23",14.76
"140","2007-07-24",13.98
"141","2007-07-25",14.37
"142","2007-07-26",14.37
"143","2007-07-27",14.16
"144","2007-07-30",14.2
"145","2007-07-31",14.1
"146","2007-08-01",14.4
"147","2007-08-02",14.42
"148","2007-08-03",13.87
"149","2007-08-06",14.44
"150","2007-08-07",14.97
"151","2007-08-08",16.48
"152","2007-08-09",16.08
"153","2007-08-10",15.42
"154","2007-08-13",14.91
"155","2007-08-14",15.08
"156","2007-08-15",15.23
"157","2007-08-16",16.639999
"158","2007-08-17",17.290001
"159","2007-08-20",17.299999
"160","2007-08-21",17.549999
"161","2007-08-22",17.219999
"162","2007-08-23",16.92
"163","2007-08-24",16.950001
