"","date","BSET"
"1","2007-01-03",16.93
"2","2007-01-04",16.66
"3","2007-01-05",16.059999
"4","2007-01-08",16.040001
"5","2007-01-09",16.01
"6","2007-01-10",16.040001
"7","2007-01-11",16.040001
"8","2007-01-12",16
"9","2007-01-16",16.120001
"10","2007-01-17",16.23
"11","2007-01-18",16.379999
"12","2007-01-19",16.389999
"13","2007-01-22",15.7
"14","2007-01-23",15.24
"15","2007-01-24",15.35
"16","2007-01-25",15.63
"17","2007-01-26",15.95
"18","2007-01-29",15.7
"19","2007-01-30",15.54
"20","2007-01-31",15.84
"21","2007-02-01",15.87
"22","2007-02-02",15.55
"23","2007-02-05",15.77
"24","2007-02-06",15.99
"25","2007-02-07",15.93
"26","2007-02-08",15.85
"27","2007-02-09",15.79
"28","2007-02-12",15.91
"29","2007-02-13",15.96
"30","2007-02-14",15.96
"31","2007-02-15",15.55
"32","2007-02-16",15.71
"33","2007-02-20",15.76
"34","2007-02-21",15.84
"35","2007-02-22",15.97
"36","2007-02-23",16.26
"37","2007-02-26",16.709999
"38","2007-02-27",16.15
"39","2007-02-28",15.78
"40","2007-03-01",15.25
"41","2007-03-02",15.21
"42","2007-03-05",15.78
"43","2007-03-06",16.299999
"44","2007-03-07",16.209999
"45","2007-03-08",15.62
"46","2007-03-09",15.53
"47","2007-03-12",15.7
"48","2007-03-13",15.52
"49","2007-03-14",15.55
"50","2007-03-15",15.43
"51","2007-03-16",15.53
"52","2007-03-19",15.64
"53","2007-03-20",15.7
"54","2007-03-21",15.6
"55","2007-03-22",15.6
"56","2007-03-23",15.49
"57","2007-03-26",15.34
"58","2007-03-27",15.04
"59","2007-03-28",14.93
"60","2007-03-29",14.99
"61","2007-03-30",14.72
"62","2007-04-02",14.79
"63","2007-04-03",15.15
"64","2007-04-04",14.97
"65","2007-04-05",14.96
"66","2007-04-09",14.86
"67","2007-04-10",14.85
"68","2007-04-11",14.55
"69","2007-04-12",14.56
"70","2007-04-13",14.8
"71","2007-04-16",14.91
"72","2007-04-17",14.73
"73","2007-04-18",14.61
"74","2007-04-19",14.83
"75","2007-04-20",14.82
"76","2007-04-23",14.8
"77","2007-04-24",14.8
"78","2007-04-25",14.78
"79","2007-04-26",14.76
"80","2007-04-27",14.73
"81","2007-04-30",14.16
"82","2007-05-01",14.01
"83","2007-05-02",14
"84","2007-05-03",13.84
"85","2007-05-04",13.98
"86","2007-05-07",13.8
"87","2007-05-08",13.79
"88","2007-05-09",13.86
"89","2007-05-10",13.73
"90","2007-05-11",13.57
"91","2007-05-14",13.5
"92","2007-05-15",13.44
"93","2007-05-16",13.53
"94","2007-05-17",13.51
"95","2007-05-18",13.5
"96","2007-05-21",13.49
"97","2007-05-22",13.95
"98","2007-05-23",13.88
"99","2007-05-24",13.88
"100","2007-05-25",14.08
"101","2007-05-29",14.36
"102","2007-05-30",14.3
"103","2007-05-31",14.35
"104","2007-06-01",14.25
"105","2007-06-04",14.32
"106","2007-06-05",14.07
"107","2007-06-06",13.99
"108","2007-06-07",13.62
"109","2007-06-08",13.51
"110","2007-06-11",13.72
"111","2007-06-12",13.55
"112","2007-06-13",13.63
"113","2007-06-14",13.58
"114","2007-06-15",13.69
"115","2007-06-18",13.66
"116","2007-06-19",13.57
"117","2007-06-20",13.61
"118","2007-06-21",14.06
"119","2007-06-22",14
"120","2007-06-25",14
"121","2007-06-26",13.56
"122","2007-06-27",13.87
"123","2007-06-28",13.96
"124","2007-06-29",13.65
"125","2007-07-02",13.67
"126","2007-07-03",13.67
"127","2007-07-05",13.56
"128","2007-07-06",13.4
"129","2007-07-09",13.41
"130","2007-07-10",13.48
"131","2007-07-11",13.46
"132","2007-07-12",13.55
"133","2007-07-13",13.88
"134","2007-07-16",14.03
"135","2007-07-17",13.99
"136","2007-07-18",13.85
"137","2007-07-19",13.88
"138","2007-07-20",14.04
"139","2007-07-23",13.81
"140","2007-07-24",13.68
"141","2007-07-25",13.5
"142","2007-07-26",13.38
"143","2007-07-27",13.38
"144","2007-07-30",13.25
"145","2007-07-31",13.07
"146","2007-08-01",13.03
"147","2007-08-02",12.85
"148","2007-08-03",12.57
"149","2007-08-06",12.55
"150","2007-08-07",12.55
"151","2007-08-08",12.42
"152","2007-08-09",12.97
"153","2007-08-10",13.11
"154","2007-08-13",12.88
"155","2007-08-14",12.67
"156","2007-08-15",12.3
"157","2007-08-16",11.75
"158","2007-08-17",11.63
"159","2007-08-20",11.5
"160","2007-08-21",11.41
"161","2007-08-22",11.75
"162","2007-08-23",11.58
"163","2007-08-24",11.38
"164","2007-08-27",11.37
"165","2007-08-28",11.37
"166","2007-08-29",11.35
"167","2007-08-30",11.17
"168","2007-08-31",11.54
"169","2007-09-04",11.49
"170","2007-09-05",11.48
"171","2007-09-06",11.51
"172","2007-09-07",11.6
"173","2007-09-10",11.37
"174","2007-09-11",11.39
"175","2007-09-12",11.36
"176","2007-09-13",11.34
"177","2007-09-14",11.28
"178","2007-09-17",11.05
"179","2007-09-18",11.19
"180","2007-09-19",11.18
"181","2007-09-20",11.08
"182","2007-09-21",11.16
"183","2007-09-24",11.1
"184","2007-09-25",11.03
"185","2007-09-26",10.5
"186","2007-09-27",10.44
"187","2007-09-28",10.38
"188","2007-10-01",10.43
"189","2007-10-02",10.46
"190","2007-10-03",10.4
"191","2007-10-04",10
"192","2007-10-05",10.66
"193","2007-10-08",10.49
"194","2007-10-09",10.5
"195","2007-10-10",10.53
"196","2007-10-11",10.56
"197","2007-10-12",10.53
"198","2007-10-15",10.44
"199","2007-10-16",10.51
"200","2007-10-17",10.56
"201","2007-10-18",10.56
"202","2007-10-19",10.52
"203","2007-10-22",10.62
"204","2007-10-23",10.62
"205","2007-10-24",10.64
"206","2007-10-25",10.64
"207","2007-10-26",10.55
"208","2007-10-29",10.59
"209","2007-10-30",10.53
"210","2007-10-31",10.61
"211","2007-11-01",10.56
"212","2007-11-02",10.42
"213","2007-11-05",10.25
"214","2007-11-06",9.93
"215","2007-11-07",9.86
"216","2007-11-08",10
"217","2007-11-09",9.98
"218","2007-11-12",10
"219","2007-11-13",10.06
"220","2007-11-14",10.1
"221","2007-11-15",10.09
"222","2007-11-16",10.33
"223","2007-11-19",10.2
"224","2007-11-20",9.77
"225","2007-11-21",9.51
"226","2007-11-23",9.69
"227","2007-11-26",9.49
