"","date","RWT"
"1","2007-01-03",57.810001
"2","2007-01-04",57.82
"3","2007-01-05",56.619999
"4","2007-01-08",57.220001
"5","2007-01-09",58.490002
"6","2007-01-10",59.610001
"7","2007-01-11",60.5
"8","2007-01-12",60.740002
"9","2007-01-16",61.549999
"10","2007-01-17",61.130001
"11","2007-01-18",60.5
"12","2007-01-19",62
"13","2007-01-22",60.5
"14","2007-01-23",60.990002
"15","2007-01-24",61.919998
"16","2007-01-25",61.939999
"17","2007-01-26",62.16
"18","2007-01-29",63.02
"19","2007-01-30",63.509998
"20","2007-01-31",63.560001
"21","2007-02-01",63.75
"22","2007-02-02",64.75
"23","2007-02-05",64.790001
"24","2007-02-06",65.540001
"25","2007-02-07",66
"26","2007-02-08",63.93
"27","2007-02-09",62.259998
"28","2007-02-12",61.349998
"29","2007-02-13",62.32
"30","2007-02-14",61.48
"31","2007-02-15",61.630001
"32","2007-02-16",61.799999
"33","2007-02-20",62.549999
"34","2007-02-21",59.610001
"35","2007-02-22",59.900002
"36","2007-02-23",56.669998
"37","2007-02-26",55.360001
"38","2007-02-27",53.900002
"39","2007-02-28",54
"40","2007-03-01",54.700001
"41","2007-03-02",54.66
"42","2007-03-05",50.189999
"43","2007-03-06",54.799999
"44","2007-03-07",54.759998
"45","2007-03-08",55.189999
"46","2007-03-09",55.700001
"47","2007-03-12",55.07
"48","2007-03-13",51.650002
"49","2007-03-14",53.43
"50","2007-03-15",54.220001
"51","2007-03-16",53.200001
"52","2007-03-19",54.029999
"53","2007-03-20",54.810001
"54","2007-03-21",57.25
"55","2007-03-22",55.93
"56","2007-03-23",55.48
"57","2007-03-26",54.84
"58","2007-03-27",54.220001
"59","2007-03-28",52.150002
"60","2007-03-29",51.799999
"61","2007-03-30",52.18
"62","2007-04-02",51.18
"63","2007-04-03",51.810001
"64","2007-04-04",51.259998
"65","2007-04-05",51.880001
"66","2007-04-09",50.150002
"67","2007-04-10",49.900002
"68","2007-04-11",49.369999
"69","2007-04-12",49.139999
"70","2007-04-13",49.02
"71","2007-04-16",49.57
"72","2007-04-17",51.049999
"73","2007-04-18",51.029999
"74","2007-04-19",51
"75","2007-04-20",51.889999
"76","2007-04-23",51.959999
"77","2007-04-24",51.509998
"78","2007-04-25",51.77
"79","2007-04-26",52.09
"80","2007-04-27",51.48
"81","2007-04-30",50.209999
"82","2007-05-01",50.490002
"83","2007-05-02",51.299999
"84","2007-05-03",51.439999
"85","2007-05-04",50.880001
"86","2007-05-07",50.790001
"87","2007-05-08",50.759998
"88","2007-05-09",51.799999
"89","2007-05-10",49.650002
"90","2007-05-11",50.07
"91","2007-05-14",49.540001
"92","2007-05-15",48.110001
"93","2007-05-16",47.68
"94","2007-05-17",49.169998
"95","2007-05-18",49.360001
"96","2007-05-21",49.639999
"97","2007-05-22",50.66
"98","2007-05-23",52.060001
"99","2007-05-24",51.32
"100","2007-05-25",51.68
"101","2007-05-29",52.75
"102","2007-05-30",53.5
"103","2007-05-31",53.59
"104","2007-06-01",53.93
"105","2007-06-04",54.240002
"106","2007-06-05",53.950001
"107","2007-06-06",53.419998
"108","2007-06-07",51.400002
"109","2007-06-08",52.779999
"110","2007-06-11",51.68
"111","2007-06-12",50.57
"112","2007-06-13",50.950001
"113","2007-06-14",50.950001
