"","date","ENLC"
"1","2007-01-03",32.32
"2","2007-01-04",32.599998
"3","2007-01-05",32
"4","2007-01-08",31.98
"5","2007-01-09",32.27
"6","2007-01-10",32.009998
"7","2007-01-11",32.169998
"8","2007-01-12",32.389999
"9","2007-01-16",31.959999
"10","2007-01-17",31.91
"11","2007-01-18",31.65
"12","2007-01-19",31.93
"13","2007-01-22",32
"14","2007-01-23",32.369999
"15","2007-01-24",32.779999
"16","2007-01-25",32.150002
"17","2007-01-26",32.5
"18","2007-01-29",32.299999
"19","2007-01-30",32.279999
"20","2007-01-31",32.779999
"21","2007-02-01",33.540001
"22","2007-02-02",33.459999
"23","2007-02-05",33.419998
"24","2007-02-06",32.91
"25","2007-02-07",32.700001
"26","2007-02-08",32.849998
"27","2007-02-09",32.02
"28","2007-02-12",31.549999
"29","2007-02-13",31.24
"30","2007-02-14",31.290001
"31","2007-02-15",31.049999
"32","2007-02-16",31.33
"33","2007-02-20",31.75
"34","2007-02-21",31.889999
"35","2007-02-22",31.98
"36","2007-02-23",32.200001
"37","2007-02-26",32.75
"38","2007-02-27",32.310001
"39","2007-02-28",32.450001
"40","2007-03-01",32.310001
"41","2007-03-02",30.09
"42","2007-03-05",29.530001
"43","2007-03-06",29.02
"44","2007-03-07",27.98
"45","2007-03-08",28.15
"46","2007-03-09",28.059999
"47","2007-03-12",28.049999
"48","2007-03-13",27.629999
"49","2007-03-14",28
"50","2007-03-15",27.85
"51","2007-03-16",27.450001
"52","2007-03-19",27.809999
"53","2007-03-20",27.73
"54","2007-03-21",27.91
"55","2007-03-22",28.139999
"56","2007-03-23",29.82
"57","2007-03-26",29.290001
"58","2007-03-27",29.01
"59","2007-03-28",29.15
"60","2007-03-29",29.049999
"61","2007-03-30",28.75
"62","2007-04-02",28.459999
"63","2007-04-03",28.24
"64","2007-04-04",28.459999
"65","2007-04-05",28.5
"66","2007-04-09",29.040001
"67","2007-04-10",29.25
"68","2007-04-11",28.809999
"69","2007-04-12",28.700001
"70","2007-04-13",28.940001
"71","2007-04-16",29.34
"72","2007-04-17",29.1
"73","2007-04-18",29.059999
"74","2007-04-19",29.030001
"75","2007-04-20",29.32
"76","2007-04-23",29.469999
"77","2007-04-24",29.49
"78","2007-04-25",29.85
"79","2007-04-26",29.99
"80","2007-04-27",29.73
"81","2007-04-30",30.049999
"82","2007-05-01",30.23
"83","2007-05-02",30.4
"84","2007-05-03",30.9
"85","2007-05-04",30.58
"86","2007-05-07",30.870001
"87","2007-05-08",30.860001
"88","2007-05-09",30.799999
"89","2007-05-10",30.290001
"90","2007-05-11",30.049999
"91","2007-05-14",30.01
"92","2007-05-15",29.75
"93","2007-05-16",29.59
"94","2007-05-17",29.610001
"95","2007-05-18",29.700001
"96","2007-05-21",30.09
"97","2007-05-22",30.459999
"98","2007-05-23",30.5
"99","2007-05-24",30.25
"100","2007-05-25",30.07
"101","2007-05-29",30.07
"102","2007-05-30",30.08
"103","2007-05-31",29.969999
"104","2007-06-01",30.030001
"105","2007-06-04",30
